"","",""
"Abies","fir","WV(Grant, Pocahontas, Randolph, Tucker)"
"Morus rubra var. rubra","red mulberry","WV(Barbour, Berkeley, Braxton, Brooke, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Jackson, Jefferson, Kanawha, Lincoln, Marion, Marshall, Mercer, Mineral, Monongalia, Monroe, Ohio, Pendleton, Pleasants, Preston, Putnam, Raleigh, Ritchie, Roane, Summers, Taylor, Tyler, Upshur, Wayne, Wetzel, Wirt, Wood, Wyoming)"
"Muhlenbergia","muhly","WV(Cabell, Fayette, Grant, Greenbrier, Hampshire, Harrison, Kanawha, Lewis, Marion, McDowell, Mercer, Mineral, Mingo, Monongalia, Morgan, Nicholas, Ohio, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Roane, Summers, Tucker, Upshur, Wayne, Wetzel, Wirt, Wyoming)"
"Muhlenbergia bushii","nodding muhly","WV(Greenbrier, Randolph)"
"Muhlenbergia capillaris","hairawn muhly","WV(Fayette)"
"Muhlenbergia mexicana","Mexican muhly","WV(Fayette, Hampshire, Mercer, Mineral, Monongalia, Ohio, Preston, Raleigh, Ritchie, Summers, Upshur, Wetzel, Wirt)"
"Muhlenbergia schreberi","nimblewill","WV(Cabell, Fayette, Hampshire, Harrison, Kanawha, Lewis, Marion, McDowell, Mineral, Monongalia, Morgan, Ohio, Roane, Summers, Tucker, Upshur, Wayne, Wetzel, Wirt)"
"Muhlenbergia sobolifera","rock muhly","WV(Fayette, Grant, Mineral, Monongalia, Pendleton, Wetzel, Wirt)"
"Muhlenbergia sylvatica","woodland muhly","WV(Fayette, Grant, Greenbrier, Hampshire, Mingo, Morgan, Pocahontas, Summers, Upshur, Wetzel, Wirt, Wyoming)"
"Muhlenbergia tenuiflora","slimflower muhly","WV(Fayette, Greenbrier, Monongalia, Nicholas, Pendleton, Preston, Randolph, Tucker, Upshur, Wirt, Wyoming)"
"Muscari","grape hyacinth","WV(Berkeley, Hardy, Jefferson, Monongalia)"
"Muscari botryoides","common grape hyacinth","WV(Berkeley, Jefferson)"
"Muscari neglectum","starch grape hyacinth","WV(Berkeley, Hardy, Monongalia)"
"Myosotis","forget-me-not","WV(Barbour, Berkeley, Brooke, Doddridge, Fayette, Grant, Hampshire, Hardy, Harrison, Kanawha, Lewis, Lincoln, Marion, Mason, McDowell, Mercer, Mineral, Monongalia, Monroe, Nicholas, Ohio, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Summers, Upshur, Wirt, Wyoming)"
"Myosotis arvensis","field forget-me-not","WV(Barbour, Hampshire, Harrison, Marion, Monongalia, Pocahontas, Ritchie)"
"Myosotis laxa","bay forget-me-not","WV(Berkeley, Fayette, Hampshire, Harrison, Lewis, Mason, McDowell, Mercer, Pendleton, Pocahontas, Preston, Randolph, Ritchie, Summers, Upshur, Wyoming)"
"Myosotis macrosperma","largeseed forget-me-not","WV(Nicholas, Summers)"
"Myosotis scorpioides","true forget-me-not","WV(Brooke, Doddridge, Hampshire, Hardy, Kanawha, Mineral, Ohio, Preston, Raleigh, Randolph, Ritchie, Summers, Upshur)"
"Myosotis verna","spring forget-me-not","WV(Grant, Hampshire, Hardy, Kanawha, Lincoln, Monongalia, Monroe, Raleigh, Summers, Wirt)"
"Myosoton","myosoton","WV(Brooke, Marshall, Ohio, Upshur, Wetzel, Wirt, Wood)"
"Myosoton aquaticum","giantchickweed","WV(Brooke, Marshall, Ohio, Upshur, Wetzel, Wirt, Wood)"
"Myriophyllum","watermilfoil","WV(Barbour, Fayette, Grant, Greenbrier, Hardy, Harrison, Marion, Monongalia, Taylor)"
"Myriophyllum heterophyllum","twoleaf watermilfoil","WV(Barbour, Fayette, Grant, Greenbrier, Hardy, Marion, Monongalia, Taylor)"
"Myriophyllum sibiricum","shortspike watermilfoil","WV(Hardy, Harrison)"
"Najas","waternymph","WV(Braxton, Doddridge, Fayette, Hampshire, Hardy, Harrison, Kanawha, Mercer, Ohio, Pendleton, Putnam, Summers, Wirt, Wyoming)"
"Najas flexilis","nodding waternymph","WV(Hampshire, Hardy, Harrison, Pendleton, Summers, Wirt)"
"Najas guadalupensis","southern waternymph","WV(Doddridge)"
"Najas guadalupensis ssp. guadalupensis","southern waternymph","WV(Doddridge)"
"Najas minor","brittle waternymph","WV(Braxton, Doddridge, Fayette, Harrison, Kanawha, Mercer, Ohio, Putnam, Summers, Wyoming)"
"Nasturtium","yellowcress","WV(Calhoun, Fayette, Grant, Greenbrier, Hampshire, Hardy, Marion, Mercer, Mineral, Ohio, Pendleton, Pocahontas, Randolph, Taylor, Wyoming)"
"Nasturtium officinale","watercress","WV(Calhoun, Fayette, Grant, Greenbrier, Hampshire, Hardy, Marion, Mercer, Mineral, Ohio, Pendleton, Pocahontas, Randolph, Taylor, Wyoming)"
"Neeragrostis","creeping lovegrass","WV(Summers)"
"Neeragrostis reptans","creeping lovegrass","WV(Summers)"
"Nekemias","peppervine","WV(Cabell, Jackson, Kanawha)"
"Nekemias arborea","peppervine","WV(Cabell, Jackson, Kanawha)"
"Nelumbo","lotus","WV(Mason)"
"Nelumbo nucifera","sacred lotus","WV(Mason)"
"Nepeta","catnip","WV(Berkeley, Braxton, Brooke, Calhoun, Clay, Doddridge, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Marion, McDowell, Mercer, Mineral, Monongalia, Monroe, Morgan, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Ritchie, Roane, Summers, Taylor, Upshur, Wayne, Wetzel, Wirt, Wood, Wyoming)"
"Nepeta cataria","catnip","WV(Berkeley, Braxton, Brooke, Calhoun, Clay, Doddridge, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Marion, McDowell, Mercer, Mineral, Monongalia, Monroe, Morgan, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Ritchie, Roane, Summers, Taylor, Upshur, Wayne, Wetzel, Wirt, Wood, Wyoming)"
"Nicandra","nicandra","WV(Brooke, Calhoun, Fayette, Hampshire, Hardy, Lewis, Mason, Mercer, Mineral, Monongalia, Raleigh, Wayne, Wirt, Wyoming)"
"Nicandra physalodes","apple of Peru","WV(Brooke, Calhoun, Fayette, Hampshire, Hardy, Lewis, Mason, Mercer, Mineral, Monongalia, Raleigh, Wayne, Wirt, Wyoming)"
"Nigella","nigella","WV(Pendleton, Raleigh)"
"Nigella damascena","devil in the bush","WV(Pendleton, Raleigh)"
"Nuphar","pond-lily","WV(Braxton, Fayette, Grant, Greenbrier, Hampshire, Hardy, Harrison, Kanawha, Mineral, Pocahontas, Preston, Randolph, Summers, Tucker)"
"Nuphar lutea","yellow pond-lily","WV(Braxton, Fayette, Grant, Greenbrier, Hampshire, Hardy, Harrison, Kanawha, Mineral, Pocahontas, Preston, Randolph, Summers, Tucker)"
"Nuphar lutea ssp. advena","yellow pond-lily","WV(Braxton, Fayette, Grant, Greenbrier, Hampshire, Hardy, Harrison, Kanawha, Mineral, Pocahontas, Preston, Randolph, Summers, Tucker)"
"Nuttallanthus","toadflax","WV(Boone, Greenbrier, Webster, Wood)"
"Nuttallanthus canadensis","Canada toadflax","WV(Boone, Greenbrier, Webster, Wood)"
"Nymphaea","waterlily","WV(Braxton, Kanawha, Marion, Raleigh, Taylor, Wood)"
"Nymphaea odorata","American white waterlily","WV(Braxton, Kanawha, Marion, Raleigh, Taylor, Wood)"
"Nymphaea odorata ssp. odorata","American white waterlily","WV(Braxton, Kanawha, Marion, Raleigh, Taylor, Wood)"
"Nyssa","tupelo","WV(Barbour, Berkeley, Braxton, Brooke, Cabell, Calhoun, Clay, Doddridge, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Lewis, Marion, Marshall, Mason, McDowell, Mercer, Mineral, Monongalia, Monroe, Morgan, Nicholas, Ohio, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Nyssa sylvatica","blackgum","WV(Barbour, Berkeley, Braxton, Brooke, Cabell, Calhoun, Clay, Doddridge, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Lewis, Marion, Marshall, Mason, McDowell, Mercer, Mineral, Monongalia, Monroe, Morgan, Nicholas, Ohio, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Obolaria","obolaria","WV(Barbour, Berkeley, Boone, Calhoun, Fayette, Gilmer, Greenbrier, Hampshire, Harrison, Jackson, Kanawha, Lincoln, McDowell, Mingo, Monongalia, Raleigh, Randolph, Ritchie, Summers, Upshur, Wayne, Webster, Wetzel, Wirt, Wyoming)"
"Obolaria virginica","Virginia pennywort","WV(Barbour, Berkeley, Boone, Calhoun, Fayette, Gilmer, Greenbrier, Hampshire, Harrison, Jackson, Kanawha, Lincoln, McDowell, Mingo, Monongalia, Raleigh, Randolph, Ritchie, Summers, Upshur, Wayne, Webster, Wetzel, Wirt, Wyoming)"
"Oclemena","aster","WV(Barbour, Fayette, Hancock, Hardy, Monroe, Pendleton, Pocahontas, Preston, Randolph, Ritchie, Tucker)"
"Oclemena acuminata","whorled wood aster","WV(Barbour, Fayette, Hancock, Hardy, Monroe, Pendleton, Pocahontas, Preston, Randolph, Ritchie, Tucker)"
"Oenothera","evening primrose","WV(Barbour, Berkeley, Braxton, Brooke, Cabell, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Logan, Marion, Marshall, Mason, McDowell, Mercer, Mineral, Mingo, Monongalia, Monroe, Morgan, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Oenothera argillicola","shale barren evening primrose","WV(Berkeley, Grant, Greenbrier, Hampshire, Hardy, Mercer, Mineral, Monroe, Morgan, Pendleton, Randolph, Summers, Tucker)"
"Oenothera biennis","common evening primrose","WV(Braxton, Brooke, Cabell, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Jackson, Jefferson, Kanawha, Lewis, Logan, Marion, Marshall, Mason, McDowell, Mercer, Mineral, Mingo, Monongalia, Morgan, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Oenothera fruticosa","narrowleaf evening primrose","WV(Barbour, Calhoun, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Mercer, Mineral, Mingo, Nicholas, Pendleton, Pocahontas, Raleigh, Summers, Wayne, Webster, Wetzel, Wirt, Wood)"
"Oenothera fruticosa ssp. tetragona","narrowleaf evening primrose","WV(Calhoun, Mingo, Wayne)"
"Oenothera gaura","biennial beeblossom","WV(Barbour, Berkeley, Brooke, Fayette, Grant, Greenbrier, Hampshire, Hardy, Jackson, Jefferson, Marshall, McDowell, Mercer, Mineral, Monongalia, Morgan, Nicholas, Ohio, Pendleton, Pocahontas, Raleigh, Randolph, Summers, Wetzel, Wirt, Wyoming)"
"Oenothera grandiflora","largeflower evening primrose","WV(Monongalia)"
"Oenothera laciniata","cutleaf evening primrose","WV(Fayette, Grant, Hampshire, Kanawha, McDowell, Mercer, Monongalia, Pendleton, Pleasants, Pocahontas, Raleigh, Ritchie, Summers, Wayne, Wood)"
"Oenothera nutans","nodding evening primrose","WV(Hardy)"
"Oenothera parviflora","northern evening primrose","WV(Barbour, Hampshire, Hancock, Hardy, Harrison, Kanawha, Monongalia, Morgan, Pocahontas, Preston, Putnam, Randolph, Wetzel, Wirt)"
"Oenothera perennis","little evening primrose","WV(Barbour, Berkeley, Calhoun, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Jackson, Mercer, Mineral, Monongalia, Morgan, Nicholas, Pocahontas, Preston, Randolph, Ritchie, Summers, Taylor, Tucker, Tyler, Upshur, Wetzel, Wirt)"
"Oenothera speciosa","pinkladies","WV(Kanawha, Logan, Monongalia, Ohio)"
"Oligoneuron","goldenrod","WV(Pendleton)"
"Oligoneuron rigidum","stiff goldenrod","WV(Pendleton)"
"Oligoneuron rigidum var. rigidum","stiff goldenrod","WV(Pendleton)"
"Onoclea","sensitive fern","WV(Barbour, Boone, Braxton, Brooke, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Lewis, Marion, Marshall, McDowell, Mineral, Monongalia, Nicholas, Ohio, Pleasants, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wyoming)"
"Onoclea sensibilis","sensitive fern","WV(Barbour, Boone, Braxton, Brooke, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Lewis, Marion, Marshall, McDowell, Mineral, Monongalia, Nicholas, Ohio, Pleasants, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wyoming)"
"Onopordum","cottonthistle","WV(Mason)"
"Onopordum acanthium","Scotch cottonthistle","WV(Mason)"
"Onosmodium","marbleseed","WV(Fayette, Grant, Greenbrier, Hampshire, Hardy, Mineral, Monroe, Pendleton, Raleigh, Summers, Wayne)"
"Onosmodium bejariense","soft-hair marbleseed","WV(Fayette, Grant, Greenbrier, Hampshire, Hardy, Mineral, Monroe, Pendleton, Raleigh, Summers, Wayne)"
"Onosmodium bejariense var. hispidissimum","softhair marbleseed","WV(Fayette, Grant, Greenbrier, Hampshire, Hardy, Mineral, Monroe, Pendleton, Raleigh, Summers, Wayne)"
"Ophioglossum","adderstongue","WV(Boone, Braxton, Cabell, Calhoun, Hardy, Harrison, Jackson, Kanawha, Lincoln, Monongalia, Pocahontas, Randolph, Ritchie, Upshur, Wirt)"
"Ophioglossum engelmannii","limestone adderstongue","WV(Hardy)"
"Ophioglossum vulgatum","southern adderstongue","WV(Boone, Braxton, Cabell, Calhoun, Harrison, Jackson, Kanawha, Lincoln, Monongalia, Pocahontas, Randolph, Ritchie, Upshur, Wirt)"
"Opuntia","pricklypear","WV(Cabell, Grant, Hampshire, Hardy, Mason, Mineral, Pendleton, Pocahontas, Roane, Summers, Tucker)"
"Opuntia humifusa","devil's-tongue","WV(Cabell, Grant, Hampshire, Hardy, Mason, Mineral, Pendleton, Pocahontas, Roane, Summers, Tucker)"
"Ornithogalum","star of Bethlehem","WV(Berkeley, Boone, Braxton, Calhoun, Grant, Hampshire, Hancock, Hardy, Harrison, Jefferson, Mason, Monongalia, Morgan, Ohio, Pendleton, Raleigh, Randolph, Ritchie, Roane, Summers, Tyler, Wetzel, Wirt, Wood)"
"Ornithogalum nutans","drooping star of Bethlehem","WV(Jefferson, Monongalia)"
"Ornithogalum umbellatum","star of Bethlehem","WV(Berkeley, Boone, Braxton, Calhoun, Grant, Hampshire, Hancock, Hardy, Harrison, Jefferson, Mason, Monongalia, Morgan, Ohio, Pendleton, Raleigh, Randolph, Ritchie, Roane, Summers, Tyler, Wetzel, Wirt, Wood)"
"Orobanche","broomrape","WV(Barbour, Berkeley, Cabell, Calhoun, Doddridge, Fayette, Grant, Hampshire, Hancock, Hardy, Jackson, Kanawha, McDowell, Mercer, Monongalia, Morgan, Pocahontas, Raleigh, Randolph, Ritchie, Summers, Upshur, Wayne, Webster, Wetzel)"
"Orobanche ludoviciana","Louisiana broomrape","WV(Summers)"
"Orobanche ludoviciana ssp. ludoviciana","Louisiana broomrape","WV(Summers)"
"Orobanche minor","hellroot","WV(Mercer)"
"Orobanche riparia","River Broom-Rape","WV(Summers)"
"Orobanche uniflora","oneflowered broomrape","WV(Barbour, Berkeley, Cabell, Calhoun, Doddridge, Fayette, Grant, Hampshire, Hancock, Hardy, Jackson, Kanawha, McDowell, Monongalia, Morgan, Pocahontas, Raleigh, Randolph, Ritchie, Summers, Upshur, Wayne, Webster, Wetzel)"
"Orontium","goldenclub","WV(Berkeley, Grant, Hampshire, Hardy, Mineral, Monongalia, Preston, Tucker)"
"Orontium aquaticum","goldenclub","WV(Berkeley, Grant, Hampshire, Hardy, Mineral, Monongalia, Preston, Tucker)"
"Oryzopsis","ricegrass","WV(Pendleton)"
"Oryzopsis asperifolia","roughleaf ricegrass","WV(Pendleton)"
"Osmorhiza","sweetroot","WV(Barbour, Boone, Braxton, Brooke, Cabell, Calhoun, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jefferson, Kanawha, Lewis, Marion, McDowell, Mercer, Mineral, Mingo, Monongalia, Morgan, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Upshur, Wayne, Webster, Wetzel, Wood)"
"Osmorhiza claytonii","Clayton's sweetroot","WV(Barbour, Boone, Braxton, Brooke, Cabell, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jefferson, Kanawha, Lewis, Marion, Mercer, Mineral, Monongalia, Morgan, Nicholas, Ohio, Pleasants, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Upshur, Wayne, Webster, Wetzel, Wood)"
"Osmorhiza longistylis","longstyle sweetroot","WV(Boone, Braxton, Brooke, Cabell, Calhoun, Fayette, Grant, Hampshire, Hancock, Hardy, Harrison, Jefferson, Kanawha, Marion, McDowell, Mercer, Mineral, Mingo, Monongalia, Morgan, Nicholas, Ohio, Pendleton, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Upshur, Wayne, Wetzel)"
"Osmunda","osmunda","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Cabell, Calhoun, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Lincoln, Marion, Mason, Mercer, Mineral, Mingo, Monongalia, Morgan, Nicholas, Ohio, Pocahontas, Preston, Putnam, Raleigh, Randolph, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wyoming)"
"Osmunda cinnamomea","cinnamon fern","WV(Barbour, Braxton, Brooke, Cabell, Fayette, Grant, Greenbrier, Hampshire, Hancock, Harrison, Marion, Mercer, Mineral, Monongalia, Nicholas, Ohio, Pocahontas, Preston, Raleigh, Randolph, Summers, Taylor, Tucker, Upshur, Webster, Wetzel, Wirt, Wyoming)"
"Osmunda claytoniana","interrupted fern","WV(Barbour, Berkeley, Boone, Brooke, Calhoun, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Lincoln, Marion, Monongalia, Nicholas, Pocahontas, Preston, Putnam, Raleigh, Randolph, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wyoming)"
"Osmunda regalis","royal fern","WV(Barbour, Berkeley, Braxton, Cabell, Fayette, Grant, Greenbrier, Hampshire, Hardy, Marion, Mason, Mercer, Mineral, Mingo, Morgan, Nicholas, Pocahontas, Raleigh, Randolph, Summers, Taylor, Tucker, Upshur, Webster, Wirt, Wyoming)"
"Osmunda regalis var. spectabilis","royal fern","WV(Barbour, Berkeley, Braxton, Cabell, Fayette, Grant, Greenbrier, Hampshire, Hardy, Marion, Mason, Mercer, Mineral, Mingo, Morgan, Nicholas, Pocahontas, Raleigh, Randolph, Summers, Taylor, Tucker, Upshur, Webster, Wirt, Wyoming)"
"Ostrya","hophornbeam","WV(Berkeley, Brooke, Cabell, Doddridge, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Jefferson, Lewis, Marion, Marshall, Mercer, Mineral, Monongalia, Monroe, Morgan, Ohio, Pleasants, Pocahontas, Preston, Putnam, Ritchie, Summers, Tyler, Wayne, Wetzel, Wirt, Wyoming)"
"Ostrya virginiana","hophornbeam","WV(Berkeley, Brooke, Cabell, Doddridge, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Jefferson, Lewis, Marion, Marshall, Mercer, Mineral, Monongalia, Monroe, Morgan, Ohio, Pleasants, Pocahontas, Preston, Putnam, Ritchie, Summers, Tyler, Wayne, Wetzel, Wirt, Wyoming)"
"Oxalis","woodsorrel","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Cabell, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Lincoln, Logan, Marion, Marshall, Mason, McDowell, Mercer, Mineral, Mingo, Monongalia, Morgan, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Oxalis corniculata","creeping woodsorrel","WV(Barbour, Braxton, Brooke, Cabell, Calhoun, Doddridge, Fayette, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Logan, Marshall, Mason, Mercer, Mineral, Monongalia, Morgan, Nicholas, Ohio, Preston, Raleigh, Ritchie, Roane, Summers, Taylor, Tucker, Wayne, Webster, Wetzel, Wirt, Wyoming)"
"Oxalis grandis","great yellow woodsorrel","WV(Braxton, Cabell, Calhoun, Doddridge, Fayette, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Marshall, Mason, McDowell, Mercer, Mineral, Mingo, Monongalia, Nicholas, Ohio, Preston, Raleigh, Ritchie, Roane, Summers, Taylor, Tucker, Wayne, Webster, Wetzel, Wirt, Wyoming)"
"Oxalis montana","mountain woodsorrel","WV(Barbour, Fayette, Grant, Greenbrier, Mercer, Mineral, Monongalia, Pocahontas, Preston, Raleigh, Randolph, Tucker, Upshur, Webster)"
"Oxalis stricta","common yellow oxalis","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Lincoln, Logan, Marion, Marshall, Mason, McDowell, Mercer, Mineral, Mingo, Monongalia, Morgan, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wetzel, Wirt, Wood, Wyoming)"
"Oxalis violacea","violet woodsorrel","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Cabell, Calhoun, Fayette, Greenbrier, Hampshire, Hancock, Hardy, Jackson, Kanawha, Lincoln, Logan, Marion, Marshall, McDowell, Mercer, Mineral, Mingo, Monongalia, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Putnam, Raleigh, Ritchie, Summers, Wayne, Wetzel, Wirt, Wood, Wyoming)"
"Oxydendrum","sourwood","WV(Barbour, Braxton, Cabell, Calhoun, Clay, Doddridge, Fayette, Gilmer, Greenbrier, Harrison, Kanawha, Lewis, Marion, McDowell, Mercer, Mingo, Monongalia, Monroe, Nicholas, Ohio, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Oxydendrum arboreum","sourwood","WV(Barbour, Braxton, Cabell, Calhoun, Clay, Doddridge, Fayette, Gilmer, Greenbrier, Harrison, Kanawha, Lewis, Marion, McDowell, Mercer, Mingo, Monongalia, Monroe, Nicholas, Ohio, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Oxypolis","cowbane","WV(Cabell, Fayette, Grant, Greenbrier, Hampshire, Hardy, Kanawha, Mineral, Monongalia, Morgan, Pocahontas, Preston, Raleigh, Randolph, Tucker, Upshur)"
