"","",""
"Abronia","sand verbena","OK(Cimarron, Harmon, Jackson, Texas)"
"Monarda citriodora ssp. citriodora","lemon beebalm","OK(Alfalfa, Atoka, Beaver, Beckham, Blaine, Bryan, Carter, Cherokee, Choctaw, Cleveland, Comanche, Garvin, Greer, Harmon, Harper, Hughes, Jackson, Johnston, Kingfisher, Kiowa, Latimer, Love, Major, Marshall, Mayes, McClain, McCurtain, Murray, Muskogee, Osage, Payne, Pontotoc, Pottawatomie, Roger Mills, Rogers, Sequoyah, Texas, Tillman, Tulsa, Washita, Woods)"
"Monarda citriodora ssp. citriodora var. citriodora","lemon beebalm","OK(Alfalfa, Atoka, Beaver, Beckham, Blaine, Bryan, Carter, Cherokee, Choctaw, Cleveland, Comanche, Garvin, Greer, Harmon, Harper, Hughes, Jackson, Johnston, Kingfisher, Kiowa, Latimer, Love, Major, Marshall, Mayes, McClain, McCurtain, Murray, Muskogee, Osage, Payne, Pontotoc, Pottawatomie, Roger Mills, Rogers, Sequoyah, Texas, Tillman, Tulsa, Washita, Woods)"
"Monarda clinopodioides","basil beebalm","OK(Alfalfa, Beckham, Blaine, Bryan, Caddo, Canadian, Cleveland, Comanche, Cotton, Custer, Garfield, Grady, Greer, Kingfisher, Logan, McClain, McCurtain, Murray, Okfuskee, Oklahoma, Payne, Pontotoc, Roger Mills, Tillman, Woods, Woodward)"
"Monarda fistulosa","wild bergamot","OK(Adair, Atoka, Beckham, Bryan, Caddo, Carter, Cherokee, Cleveland, Comanche, Custer, Delaware, Garvin, Haskell, Johnston, Kingfisher, Kiowa, Latimer, Le Flore, Logan, Love, Marshall, Mayes, McClain, McCurtain, Murray, Muskogee, Okfuskee, Oklahoma, Ottawa, Payne, Pontotoc, Pottawatomie, Tulsa)"
"Monarda fistulosa ssp. fistulosa","wild bergamot","OK(Adair, Atoka, Beckham, Bryan, Caddo, Carter, Cherokee, Cleveland, Comanche, Custer, Delaware, Garvin, Haskell, Johnston, Kingfisher, Kiowa, Latimer, Le Flore, Logan, Love, Marshall, Mayes, McClain, McCurtain, Murray, Muskogee, Okfuskee, Oklahoma, Ottawa, Payne, Pontotoc, Pottawatomie, Tulsa)"
"Monarda fistulosa ssp. fistulosa var. fistulosa","wild bergamot","OK(Adair, Atoka, Beckham, Bryan, Caddo, Carter, Cherokee, Cleveland, Comanche, Custer, Delaware, Garvin, Haskell, Johnston, Kingfisher, Kiowa, Latimer, Le Flore, Logan, Love, Marshall, Mayes, McClain, McCurtain, Murray, Muskogee, Okfuskee, Oklahoma, Ottawa, Payne, Pontotoc, Pottawatomie, Tulsa)"
"Monarda pectinata","pony beebalm","OK(Cimarron, Cleveland)"
"Monarda punctata","spotted beebalm","OK(Alfalfa, Atoka, Beaver, Beckham, Blaine, Bryan, Caddo, Canadian, Carter, Choctaw, Cleveland, Comanche, Cotton, Creek, Custer, Dewey, Grady, Grant, Greer, Harmon, Harper, Jackson, Kingfisher, Kiowa, Love, Marshall, McClain, McCurtain, Payne, Pittsburg, Pottawatomie, Roger Mills, Tillman, Tulsa, Washita, Woods, Woodward)"
"Monarda punctata ssp. punctata","spotted beebalm","OK(Alfalfa, Atoka, Beaver, Beckham, Blaine, Bryan, Caddo, Canadian, Carter, Choctaw, Cleveland, Comanche, Cotton, Creek, Custer, Dewey, Grady, Grant, Greer, Harmon, Harper, Jackson, Kingfisher, Kiowa, Love, Marshall, McClain, McCurtain, Payne, Pittsburg, Pottawatomie, Roger Mills, Tillman, Tulsa, Washita, Woods, Woodward)"
"Monarda punctata ssp. punctata var. occidentalis","spotted beebalm","OK(Alfalfa, Atoka, Beaver, Beckham, Blaine, Bryan, Caddo, Canadian, Carter, Choctaw, Cleveland, Comanche, Cotton, Creek, Custer, Dewey, Grady, Grant, Greer, Harmon, Harper, Jackson, Kingfisher, Kiowa, Love, Marshall, McClain, McCurtain, Payne, Pittsburg, Pottawatomie, Roger Mills, Tillman, Tulsa, Washita, Woods, Woodward)"
"Monolepis","povertyweed","OK(Alfalfa, Atoka, Blaine, Bryan, Cimarron, Cleveland, Garfield, Grant, Harmon, Kingfisher, McClain, Murray, Oklahoma, Payne, Woods)"
"Monolepis nuttalliana","Nuttall's povertyweed","OK(Alfalfa, Atoka, Blaine, Bryan, Cimarron, Cleveland, Garfield, Grant, Harmon, Kingfisher, McClain, Murray, Oklahoma, Payne, Woods)"
"Monotropa","Indianpipe","OK(Bryan, McCurtain)"
"Monotropa uniflora","Indianpipe","OK(Bryan, McCurtain)"
"Morus","mulberry","OK(Alfalfa, Atoka, Beaver, Bryan, Caddo, Canadian, Choctaw, Cleveland, Comanche, Custer, Delaware, Garvin, Grady, Grant, Johnston, Kay, Kingfisher, Kiowa, Logan, Love, Major, Marshall, Mayes, McClain, McCurtain, Murray, Muskogee, Oklahoma, Ottawa, Payne, Pontotoc, Pottawatomie, Sequoyah, Tulsa, Wagoner, Woods, Woodward)"
"Morus alba","white mulberry","OK(Alfalfa, Atoka, Beaver, Caddo, Canadian, Cleveland, Custer, Grant, Major, McCurtain, Muskogee, Wagoner, Woods, Woodward)"
"Morus microphylla","Texas mulberry","OK(Comanche)"
"Morus rubra","red mulberry","OK(Atoka, Bryan, Caddo, Canadian, Choctaw, Cleveland, Custer, Delaware, Garvin, Grady, Johnston, Kay, Kingfisher, Kiowa, Logan, Love, Marshall, Mayes, McClain, McCurtain, Murray, Oklahoma, Ottawa, Payne, Pontotoc, Pottawatomie, Sequoyah, Tulsa, Wagoner, Woods, Woodward)"
"Morus rubra var. rubra","red mulberry","OK(Atoka, Bryan, Caddo, Canadian, Choctaw, Cleveland, Custer, Delaware, Garvin, Grady, Johnston, Kay, Kingfisher, Kiowa, Logan, Love, Marshall, Mayes, McClain, McCurtain, Murray, Oklahoma, Ottawa, Payne, Pontotoc, Pottawatomie, Sequoyah, Tulsa, Wagoner, Woods, Woodward)"
"Muhlenbergia","muhly","OK(Adair, Alfalfa, Beaver, Blaine, Bryan, Canadian, Cherokee, Cimarron, Cleveland, Comanche, Creek, Delaware, Ellis, Grady, Greer, Harmon, Harper, Jackson, Johnston, Kiowa, Le Flore, Logan, Major, Marshall, Mayes, McCurtain, Murray, Muskogee, Oklahoma, Osage, Ottawa, Payne, Pontotoc, Roger Mills, Sequoyah, Texas, Tulsa, Woods)"
"Muhlenbergia arenicola","sand muhly","OK(Cimarron, Harmon, Texas)"
"Muhlenbergia asperifolia","scratchgrass","OK(Alfalfa, Cimarron, Cleveland, Ellis, Harper, Logan, Major, Texas, Woods)"
"Muhlenbergia bushii","nodding muhly","OK(Sequoyah, Woods)"
"Muhlenbergia capillaris","hairawn muhly","OK(Cleveland, Comanche, Creek, Johnston, Murray, Muskogee, Osage, Payne, Pontotoc, Sequoyah, Tulsa)"
"Muhlenbergia frondosa","wirestem muhly","OK(Johnston, Le Flore)"
"Muhlenbergia mexicana","Mexican muhly","OK(Cimarron, Cleveland, Delaware, Oklahoma, Payne, Roger Mills)"
"Muhlenbergia porteri","bush muhly","OK(Cimarron)"
"Muhlenbergia racemosa","marsh muhly","OK(Blaine, Canadian, Cimarron, Cleveland, Comanche, Ellis, Grady, Harper, Johnston, Logan, Major, Muskogee, Oklahoma, Osage, Payne)"
"Muhlenbergia schreberi","nimblewill","OK(Adair, Bryan, Canadian, Cherokee, Cleveland, Delaware, Marshall, Mayes, McCurtain, Murray, Ottawa)"
"Muhlenbergia sobolifera","rock muhly","OK(Canadian, Cherokee, Cleveland, Johnston, Logan, Mayes, McCurtain, Murray, Muskogee, Ottawa, Payne, Pontotoc, Sequoyah, Tulsa, Woods)"
"Muhlenbergia sylvatica","woodland muhly","OK(Cherokee, Cleveland, Osage)"
"Muhlenbergia tenuiflora","slimflower muhly","OK(Comanche)"
"Muhlenbergia torreyi","ring muhly","OK(Beaver, Cimarron, Greer, Jackson, Kiowa, Texas)"
"Munroa","false buffalograss","OK(Beaver, Cimarron, Ellis, Harmon, Jackson, Payne, Texas, Woods, Woodward)"
"Munroa squarrosa","false buffalograss","OK(Beaver, Cimarron, Ellis, Harmon, Jackson, Payne, Texas, Woods, Woodward)"
"Myosotis","forget-me-not","OK(Bryan, Caddo, Canadian, Cherokee, Choctaw, Cleveland, Coal, Comanche, Delaware, Grady, Greer, Johnston, Kingfisher, Latimer, Le Flore, Logan, Marshall, McCurtain, Murray, Muskogee, Noble, Oklahoma, Osage, Ottawa, Pittsburg, Pottawatomie, Pushmataha, Sequoyah, Tulsa, Wagoner)"
"Myosotis verna","spring forget-me-not","OK(Bryan, Caddo, Canadian, Cherokee, Choctaw, Cleveland, Coal, Comanche, Delaware, Grady, Greer, Johnston, Kingfisher, Latimer, Le Flore, Logan, Marshall, McCurtain, Murray, Muskogee, Noble, Oklahoma, Osage, Ottawa, Pittsburg, Pottawatomie, Pushmataha, Sequoyah, Tulsa, Wagoner)"
"Myosurus","mousetail","OK(Beaver, Bryan, Cherokee, Choctaw, Cleveland, Marshall, McClain, McCurtain, Muskogee, Oklahoma, Payne, Tulsa, Woods)"
"Myosurus minimus","tiny mousetail","OK(Beaver, Bryan, Cherokee, Choctaw, Cleveland, Marshall, McClain, McCurtain, Muskogee, Oklahoma, Payne, Tulsa, Woods)"
"Myriophyllum","watermilfoil","OK(Bryan, Cimarron, Comanche, Harper, Johnston, Le Flore, McCurtain, Murray, Ottawa)"
"Myriophyllum heterophyllum","twoleaf watermilfoil","OK(Johnston, Le Flore, McCurtain, Murray)"
"Myriophyllum pinnatum","cutleaf watermilfoil","OK(Bryan, Comanche, Harper, Le Flore, McCurtain, Murray, Ottawa)"
"Myriophyllum spicatum","Eurasian watermilfoil","OK(Cimarron, Comanche)"
"Najas","waternymph","OK(Beaver, Blaine, Bryan, Comanche, Hughes, Johnston, Le Flore, Marshall, Muskogee, Payne, Woods)"
"Najas guadalupensis","southern waternymph","OK(Beaver, Blaine, Bryan, Comanche, Hughes, Johnston, Le Flore, Marshall, Muskogee, Payne, Woods)"
"Najas guadalupensis ssp. guadalupensis","southern waternymph","OK(Beaver, Blaine, Bryan, Comanche, Hughes, Johnston, Le Flore, Marshall, Muskogee, Payne, Woods)"
"Nama","fiddleleaf","OK(Blaine, Bryan, Caddo, Comanche, Cotton, Custer, Dewey, Greer, Harmon, Harper, Jackson, Jefferson, Johnston, Major, Tillman, Woods)"
"Nama hispidum","bristly nama","OK(Blaine, Bryan, Caddo, Comanche, Cotton, Harmon, Jackson, Jefferson, Johnston, Tillman)"
"Nama stevensii","Stevens' fiddleleaf","OK(Blaine, Caddo, Custer, Dewey, Greer, Harmon, Harper, Major, Woods)"
"Nasturtium","yellowcress","OK(Alfalfa, Beaver, Blaine, Bryan, Canadian, Carter, Cherokee, Cleveland, Comanche, Custer, Delaware, Ellis, Grady, Greer, Harper, Johnston, Love, Mayes, Murray, Muskogee, Oklahoma, Ottawa, Payne, Roger Mills)"
"Nasturtium officinale","watercress","OK(Alfalfa, Beaver, Blaine, Bryan, Canadian, Carter, Cherokee, Cleveland, Comanche, Custer, Delaware, Ellis, Grady, Greer, Harper, Johnston, Love, Mayes, Murray, Muskogee, Oklahoma, Ottawa, Payne, Roger Mills)"
"Neeragrostis","creeping lovegrass","OK(Bryan, Cleveland, Comanche, Grant, Muskogee, Rogers)"
"Neeragrostis reptans","creeping lovegrass","OK(Bryan, Cleveland, Comanche, Grant, Muskogee, Rogers)"
"Nekemias","peppervine","OK(Atoka, Bryan, Canadian, Carter, Cherokee, Choctaw, Cleveland, Delaware, Grady, Haskell, Hughes, Johnston, Latimer, Le Flore, Love, Marshall, McCurtain, McIntosh, Murray, Muskogee, Okfuskee, Oklahoma, Okmulgee, Pontotoc, Pottawatomie, Rogers, Seminole, Sequoyah, Tulsa, Wagoner)"
"Nekemias arborea","peppervine","OK(Atoka, Bryan, Canadian, Carter, Cherokee, Choctaw, Cleveland, Delaware, Grady, Haskell, Hughes, Johnston, Latimer, Le Flore, Love, Marshall, McCurtain, McIntosh, Murray, Muskogee, Okfuskee, Oklahoma, Okmulgee, Pontotoc, Pottawatomie, Rogers, Seminole, Sequoyah, Tulsa, Wagoner)"
"Nelumbo","lotus","OK(Alfalfa, Bryan, Carter, Comanche, Cotton, Grady, Johnston, McCurtain, Murray, Oklahoma, Ottawa, Tulsa)"
"Nelumbo lutea","American lotus","OK(Alfalfa, Bryan, Carter, Comanche, Cotton, Grady, Johnston, McCurtain, Murray, Oklahoma, Ottawa, Tulsa)"
"Nemastylis","pleatleaf","OK(Marshall, Osage, Payne, Pittsburg)"
"Nemastylis geminiflora","prairie pleatleaf","OK(Marshall, Osage, Payne, Pittsburg)"
"Nemophila","baby blue eyes","OK(Caddo)"
"Nemophila phacelioides","largeflower baby blue eyes","OK(Caddo)"
"Nepeta","catnip","OK(Comanche, Delaware, Muskogee, Pontotoc)"
"Nepeta cataria","catnip","OK(Comanche, Delaware, Muskogee, Pontotoc)"
"Neptunia","puff","OK(Beckham, Cleveland, Comanche, Oklahoma, Payne)"
"Neptunia lutea","yellow puff","OK(Beckham, Cleveland, Comanche, Oklahoma, Payne)"
"Nicandra","nicandra","OK(Cleveland)"
"Nicandra physalodes","apple of Peru","OK(Cleveland)"
"Nicotiana","tobacco","OK(Jackson)"
"Nicotiana obtusifolia","desert tobacco","OK(Jackson)"
"Nicotiana obtusifolia var. obtusifolia","desert tobacco","OK(Jackson)"
"Nolina","beargrass","OK(Cimarron)"
"Nolina texana","Texas sacahuista","OK(Cimarron)"
"Nothocalais","false dandelion","OK(Beaver, Cimarron, Cleveland, Grant, Major, Oklahoma, Roger Mills, Woods)"
"Nothocalais cuspidata","prairie false dandelion","OK(Beaver, Cimarron, Cleveland, Grant, Major, Oklahoma, Roger Mills, Woods)"
"Nothoscordum","false garlic","OK(Adair, Alfalfa, Blaine, Bryan, Carter, Cherokee, Choctaw, Cleveland, Coal, Comanche, Creek, Custer, Garfield, Garvin, Grady, Grant, Greer, Haskell, Hughes, Jackson, Jefferson, Johnston, Kay, Kingfisher, Latimer, Le Flore, Logan, Marshall, McClain, McCurtain, Murray, Muskogee, Nowata, Oklahoma, Osage, Ottawa, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Rogers, Sequoyah, Washington, Woods)"
"Nothoscordum bivalve","crowpoison","OK(Adair, Alfalfa, Blaine, Bryan, Carter, Cherokee, Choctaw, Cleveland, Coal, Comanche, Creek, Custer, Garfield, Garvin, Grady, Grant, Greer, Haskell, Hughes, Jackson, Jefferson, Johnston, Kay, Kingfisher, Latimer, Le Flore, Logan, Marshall, McClain, McCurtain, Murray, Muskogee, Nowata, Oklahoma, Osage, Ottawa, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Rogers, Sequoyah, Washington, Woods)"
"Nuphar","pond-lily","OK(Haskell, Johnston, Latimer, Le Flore, McCurtain, Pushmataha)"
"Nuphar lutea","yellow pond-lily","OK(Haskell, Johnston, Latimer, Le Flore, McCurtain, Pushmataha)"
"Nuphar lutea ssp. advena","yellow pond-lily","OK(Haskell, Johnston, Latimer, Le Flore, McCurtain, Pushmataha)"
"Nuttallanthus","toadflax","OK(Adair, Alfalfa, Atoka, Blaine, Bryan, Caddo, Canadian, Carter, Cherokee, Cleveland, Comanche, Cotton, Custer, Delaware, Garfield, Grady, Grant, Greer, Haskell, Hughes, Jefferson, Johnston, Kingfisher, Kiowa, Latimer, Le Flore, Logan, Love, Mayes, McCurtain, Murray, Muskogee, Okfuskee, Oklahoma, Okmulgee, Osage, Ottawa, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Sequoyah, Stephens, Tillman, Tulsa, Wagoner, Washington, Washita, Woods, Woodward)"
"Nuttallanthus texanus","Texas toadflax","OK(Adair, Alfalfa, Atoka, Blaine, Bryan, Caddo, Canadian, Carter, Cherokee, Cleveland, Comanche, Cotton, Custer, Delaware, Garfield, Grady, Grant, Greer, Haskell, Hughes, Jefferson, Johnston, Kingfisher, Kiowa, Latimer, Le Flore, Logan, Love, Mayes, McCurtain, Murray, Muskogee, Okfuskee, Oklahoma, Okmulgee, Osage, Ottawa, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Sequoyah, Stephens, Tillman, Tulsa, Wagoner, Washington, Washita, Woods, Woodward)"
"Nymphaea","waterlily","OK(Comanche, Grady, Le Flore, Oklahoma, Ottawa, Tulsa)"
"Nymphaea odorata","American white waterlily","OK(Comanche, Grady, Le Flore, Oklahoma, Ottawa, Tulsa)"
"Nyssa","tupelo","OK(Adair, Atoka, Bryan, Cherokee, Choctaw, Coal, Delaware, Haskell, Latimer, Le Flore, Mayes, McCurtain, Muskogee, Okmulgee, Ottawa, Pittsburg, Pushmataha, Sequoyah, Tulsa)"
"Nyssa sylvatica","blackgum","OK(Adair, Atoka, Bryan, Cherokee, Choctaw, Coal, Delaware, Haskell, Latimer, Le Flore, Mayes, McCurtain, Muskogee, Okmulgee, Ottawa, Pittsburg, Pushmataha, Sequoyah, Tulsa)"
"Oenothera","evening primrose","OK(Adair, Alfalfa, Atoka, Beaver, Beckham, Blaine, Bryan, Caddo, Canadian, Carter, Cherokee, Choctaw, Cimarron, Cleveland, Coal, Comanche, Cotton, Craig, Creek, Custer, Delaware, Dewey, Ellis, Garfield, Garvin, Grady, Grant, Greer, Harmon, Harper, Haskell, Hughes, Jackson, Jefferson, Johnston, Kay, Kingfisher, Kiowa, Latimer, Le Flore, Lincoln, Logan, Major, Marshall, Mayes, McClain, McCurtain, McIntosh, Murray, Muskogee, Okfuskee, Oklahoma, Osage, Ottawa, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Roger Mills, Rogers, Seminole, Sequoyah, Stephens, Texas, Tillman, Tulsa, Wagoner, Washington, Washita, Woods, Woodward)"
"Oenothera albicaulis","whitest evening primrose","OK(Beaver, Cimarron, Harmon, Harper, Texas, Woodward)"
"Oenothera biennis","common evening primrose","OK(Bryan, Cherokee, Cleveland, Craig, Kay, Latimer, Le Flore, McCurtain, Muskogee, Oklahoma, Ottawa, Payne)"
"Oenothera canescens","spotted evening primrose","OK(Beaver)"
"Oenothera cinerea","high-plains beeblossom","OK(Alfalfa, Beaver, Blaine, Cimarron, Custer, Dewey, Ellis, Grady, Grant, Greer, Harmon, Harper, Jackson, Jefferson, Kingfisher, Logan, Marshall, Roger Mills, Texas, Tillman)"
"Oenothera cinerea ssp. cinerea","high-plains beeblossom","OK(Alfalfa, Beaver, Blaine, Cimarron, Custer, Dewey, Ellis, Grady, Grant, Greer, Harmon, Harper, Jackson, Jefferson, Kingfisher, Logan, Marshall, Roger Mills, Texas, Tillman)"
"Oenothera curtiflora","velvetweed","OK(Alfalfa, Beaver, Blaine, Caddo, Cimarron, Cleveland, Custer, Grady, Grant, Greer, Harmon, Harper, Hughes, Jackson, Kingfisher, Major, Muskogee, Oklahoma, Roger Mills, Texas, Tulsa, Woods, Woodward)"
"Oenothera elata","Hooker's evening primrose","OK(Dewey)"
"Oenothera elata ssp. hirsutissima","Hooker's evening primrose","OK(Dewey)"
"Oenothera engelmannii","Engelmann's evening primrose","OK(Jackson)"
"Oenothera filiformis","longflower beeblossom","OK(Adair, Bryan, Cherokee, Cleveland, Comanche, Creek, Delaware, Haskell, Johnston, Kay, Latimer, Mayes, McCurtain, Murray, Muskogee, Oklahoma, Osage, Ottawa, Payne, Pittsburg, Pushmataha, Seminole, Sequoyah, Tulsa)"
"Oenothera grandis","showy evening primrose","OK(Alfalfa, Beaver, Blaine, Caddo, Canadian, Cleveland, Comanche, Cotton, Custer, Ellis, Grady, Greer, Harmon, Harper, Jackson, Kiowa, Major, McClain, Payne, Roger Mills, Tillman, Washita, Woods, Woodward)"
"Oenothera jamesii","trumpet evening primrose","OK(Beckham, Caddo, Cleveland, Custer, Ellis, Grady, Greer, Jackson)"
"Oenothera laciniata","cutleaf evening primrose","OK(Adair, Alfalfa, Beaver, Beckham, Blaine, Bryan, Caddo, Canadian, Cherokee, Choctaw, Cimarron, Cleveland, Coal, Comanche, Cotton, Craig, Creek, Custer, Delaware, Garfield, Garvin, Grady, Grant, Greer, Harmon, Harper, Haskell, Hughes, Johnston, Kay, Kingfisher, Kiowa, Latimer, Le Flore, Logan, Marshall, Mayes, McClain, McIntosh, Murray, Muskogee, Oklahoma, Osage, Payne, Pittsburg, Pottawatomie, Pushmataha, Sequoyah, Tillman, Tulsa, Wagoner, Washita, Woodward)"
"Oenothera latifolia","mountain evening primrose","OK(Beaver, Cimarron, Harper, Texas, Woods)"
"Oenothera linifolia","threadleaf evening primrose","OK(Adair, Atoka, Bryan, Cherokee, Cleveland, Comanche, Creek, Haskell, Hughes, Johnston, Latimer, Le Flore, Lincoln, McClain, McCurtain, McIntosh, Murray, Muskogee, Okfuskee, Oklahoma, Osage, Ottawa, Payne, Pittsburg, Pushmataha, Rogers, Sequoyah, Tulsa)"
"Oenothera macrocarpa","bigfruit evening primrose","OK(Beaver, Beckham, Blaine, Caddo, Carter, Cleveland, Comanche, Custer, Ellis, Garvin, Grady, Greer, Harmon, Harper, Johnston, Kay, Lincoln, Major, Marshall, McClain, Murray, Oklahoma, Payne, Pontotoc, Pottawatomie, Roger Mills, Stephens, Texas, Washita, Woods)"
"Oenothera macrocarpa ssp. incana","bigfruit evening primrose","OK(Beaver, Beckham, Comanche, Custer, Ellis, Harmon, Harper, Roger Mills, Texas, Washita)"
"Oenothera macrocarpa ssp. macrocarpa","bigfruit evening primrose","OK(Caddo, Cleveland, Comanche, Pontotoc, Roger Mills)"
"Oenothera macrocarpa ssp. oklahomensis","Oklahoma evening primrose","OK(Blaine, Carter, Cleveland, Garvin, Grady, Greer, Harmon, Johnston, Kay, Lincoln, Major, Marshall, McClain, Murray, Oklahoma, Payne, Pontotoc, Pottawatomie, Roger Mills, Stephens, Woods)"
"Oenothera rhombipetala","fourpoint evening primrose","OK(Alfalfa, Atoka, Beckham, Blaine, Bryan, Caddo, Canadian, Carter, Choctaw, Cleveland, Custer, Dewey, Grady, Greer, Jefferson, Kingfisher, Kiowa, Logan, Marshall, McClain, McCurtain, Muskogee, Oklahoma, Osage, Payne, Pontotoc, Pottawatomie, Seminole, Tulsa, Woods, Woodward)"
"Oenothera sinuosa","wavyleaf beeblossom","OK(Atoka, Blaine, Bryan, Caddo, Carter, Cleveland, Comanche, Cotton, Custer, Grady, Greer, Harmon, Hughes, Jackson, Jefferson, Kay, Kingfisher, Kiowa, Logan, Marshall, Murray, Oklahoma, Payne, Pittsburg, Stephens, Texas, Tillman, Washita)"
"Oenothera speciosa","pinkladies","OK(Alfalfa, Atoka, Blaine, Bryan, Caddo, Carter, Cherokee, Choctaw, Cleveland, Comanche, Cotton, Delaware, Garfield, Grady, Grant, Hughes, Johnston, Kay, Kingfisher, Kiowa, Latimer, Le Flore, Lincoln, Major, Marshall, Mayes, McCurtain, Murray, Okfuskee, Oklahoma, Osage, Ottawa, Payne, Pittsburg, Pontotoc, Pottawatomie, Rogers, Sequoyah, Stephens, Tillman, Tulsa, Washington, Washita)"
"Oenothera suffrutescens","scarlet beeblossom","OK(Alfalfa, Beaver, Beckham, Blaine, Caddo, Cimarron, Cleveland, Custer, Dewey, Garfield, Grady, Grant, Greer, Harmon, Harper, Jackson, Kingfisher, Kiowa, Major, Pittsburg, Roger Mills, Texas, Tillman, Woods, Woodward)"
"Oenothera suffulta","kisses","OK(Caddo, Carter, Coal, Comanche, Greer, Jefferson, Kay, Kiowa, Marshall, Murray, Okfuskee, Oklahoma, Pontotoc, Woodward)"
"Oenothera suffulta ssp. suffulta","kisses","OK(Caddo, Carter, Coal, Comanche, Greer, Jefferson, Kay, Kiowa, Marshall, Murray, Okfuskee, Oklahoma, Pontotoc, Woodward)"
"Oenothera triangulata","prairie beeblossom","OK(Cleveland, Comanche, Cotton, Grady, Oklahoma, Rogers, Stephens, Tulsa)"
"Oenothera triloba","stemless evening primrose","OK(Beckham, Blaine, Bryan, Cherokee, Choctaw, Cimarron, Cleveland, Comanche, Craig, Greer, Harmon, Jackson, Johnston, Kingfisher, Marshall, McCurtain, Murray, Muskogee, Oklahoma, Osage, Payne, Pontotoc, Sequoyah, Tillman, Tulsa, Woods)"
"Oenothera villosa","hairy evening primrose","OK(Adair, Cleveland)"
"Oenothera villosa ssp. villosa","hairy evening primrose","OK(Adair, Cleveland)"
"Oligoneuron","goldenrod","OK(Cleveland, Creek, Grady, Johnston, Logan, Mayes, McClain, Murray, Muskogee, Oklahoma, Ottawa, Pawnee, Payne, Pontotoc, Pottawatomie, Seminole, Sequoyah, Tulsa)"
