"","",""
"Abronia","sand verbena","ND(McKenzie)"
"Hordeum jubatum","foxtail barley","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Traill, Ward, Williams)"
"Hordeum pusillum","little barley","ND(Billings, Slope)"
"Houstonia","bluet","ND(Benson, Cavalier, Eddy, Grand Forks, Pembina, Pierce, Ransom, Rolette)"
"Houstonia longifolia","longleaf summer bluet","ND(Benson, Cavalier, Eddy, Grand Forks, Pembina, Pierce, Ransom, Rolette)"
"Hudsonia","goldenheather","ND(Ransom)"
"Hudsonia tomentosa","woolly beachheather","ND(Ransom)"
"Hudsonia tomentosa var. tomentosa","woolly beachheather","ND(Ransom)"
"Humulus","hop","ND(Barnes, Benson, Billings, Bottineau, Cass, Dunn, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Pembina, Ransom, Richland, Sargent, Sheridan, Slope, Stark, Steele, Stutsman, Ward, Wells, Williams)"
"Humulus lupulus","common hop","ND(Barnes, Benson, Billings, Bottineau, Cass, Dunn, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Pembina, Ransom, Richland, Sargent, Sheridan, Slope, Stark, Steele, Stutsman, Ward, Wells, Williams)"
"Hydrophyllum","waterleaf","ND(Barnes, Cass, Emmons, Grand Forks, Ransom, Richland, Sargent, Steele, Walsh)"
"Hydrophyllum virginianum","eastern waterleaf","ND(Barnes, Cass, Emmons, Grand Forks, Ransom, Richland, Sargent, Steele, Walsh)"
"Hydrophyllum virginianum var. virginianum","eastern waterleaf","ND(Barnes, Cass, Emmons, Grand Forks, Ransom, Richland, Sargent, Steele, Walsh)"
"Hymenopappus","hymenopappus","ND(Adams, Benson, Billings, Bowman, Divide, Dunn, Golden Valley, Grant, Hettinger, McKenzie, Mountrail, Sioux, Slope, Stark, Williams)"
"Hymenopappus filifolius","fineleaf hymenopappus","ND(Billings, Bowman, Divide, Dunn, Golden Valley, Grant, Hettinger, McKenzie, Mountrail, Slope, Stark, Williams)"
"Hymenopappus filifolius var. polycephalus","manyhead hymenopappus","ND(Billings, Bowman, Divide, Dunn, Golden Valley, Grant, Hettinger, McKenzie, Mountrail, Slope, Stark, Williams)"
"Hymenopappus tenuifolius","Chalk Hill hymenopappus","ND(Adams, Benson, Billings, Divide, Dunn, Golden Valley, Grant, Hettinger, McKenzie, Mountrail, Sioux, Slope, Stark, Williams)"
"Hymenoxys","rubberweed","ND(Billings, Bowman, Divide, Golden Valley, McKenzie, Morton, Slope, Stark)"
"Hymenoxys richardsonii","pingue rubberweed","ND(Billings, Bowman, Divide, Golden Valley, McKenzie, Morton, Slope, Stark)"
"Hymenoxys richardsonii var. richardsonii","pingue rubberweed","ND(Billings, Bowman, Divide, Golden Valley, McKenzie, Morton, Slope, Stark)"
"Hyoscyamus","henbane","ND(Barnes, Billings, Golden Valley, Grant, Hettinger, LaMoure, Logan, McIntosh, McKenzie, McLean, Morton, Oliver, Stark, Towner)"
"Hyoscyamus niger","black henbane","ND(Barnes, Billings, Golden Valley, Grant, Hettinger, LaMoure, Logan, McIntosh, McKenzie, McLean, Morton, Oliver, Stark, Towner)"
"Hypericum","St. Johnswort","ND(Benson, Cass, Richland)"
"Hypericum majus","large St. Johnswort","ND(Benson, Cass, Richland)"
"Hypoxis","star-grass","ND(Barnes, Bottineau, Cass, Dickey, Eddy, Emmons, Grand Forks, Griggs, Kidder, McHenry, McIntosh, Pembina, Pierce, Ransom, Richland, Sargent, Stutsman, Ward)"
"Hypoxis hirsuta","common goldstar","ND(Barnes, Bottineau, Cass, Dickey, Eddy, Emmons, Grand Forks, Griggs, Kidder, McHenry, McIntosh, Pembina, Pierce, Ransom, Richland, Sargent, Stutsman, Ward)"
"Impatiens","touch-me-not","ND(Barnes, Benson, Cass, Eddy, Grand Forks, Griggs, McHenry, Nelson, Pembina, Ransom, Richland, Rolette, Sargent, Walsh)"
"Impatiens capensis","jewelweed","ND(Barnes, Benson, Cass, Eddy, Grand Forks, Griggs, McHenry, Nelson, Pembina, Ransom, Richland, Rolette, Walsh)"
"Impatiens pallida","pale touch-me-not","ND(Cass, Pembina, Ransom, Richland, Sargent)"
"Ipomoea","morning-glory","ND(Cass, LaMoure)"
"Ipomoea purpurea","tall morning-glory","ND(Cass, LaMoure)"
"Ipomopsis","ipomopsis","ND(Billings, McKenzie, Slope, Williams)"
"Ipomopsis congesta","ballhead ipomopsis","ND(Billings, McKenzie, Slope, Williams)"
"Ipomopsis congesta ssp. congesta","ballhead ipomopsis","ND(Billings, McKenzie, Slope, Williams)"
"Iris","iris","ND(Emmons, Kidder)"
"Iris missouriensis","Rocky Mountain iris","ND(Emmons, Kidder)"
"Iva","marsh elder","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Divide, Dunn, Emmons, Golden Valley, Grant, Hettinger, McHenry, McKenzie, McLean, Mountrail, Rolette, Sheridan, Sioux, Slope, Stark, Walsh, Ward, Williams)"
"Iva annua","annual marsh elder","ND(Walsh)"
"Iva annua var. annua","annual marsh elder","ND(Walsh)"
"Iva axillaris","povertyweed","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Divide, Dunn, Emmons, Golden Valley, Grant, Hettinger, McHenry, McKenzie, McLean, Mountrail, Rolette, Sheridan, Sioux, Slope, Stark, Walsh, Ward, Williams)"
"Juglans","walnut","ND(Cass)"
"Juglans nigra","black walnut","ND(Cass)"
"Juncus","rush","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Towner, Walsh, Ward, Wells, Williams)"
"Juncus alpinoarticulatus","northern green rush","ND(Benson, Bottineau, Burke, Divide, Emmons, Hettinger, Kidder, McHenry, Mountrail, Ransom, Rolette, Stutsman, Ward)"
"Juncus alpinoarticulatus ssp. nodulosus","northern green rush","ND(Benson, Bottineau, Burke, Divide, Emmons, Hettinger, Kidder, McHenry, Mountrail, Ransom, Rolette, Stutsman, Ward)"
"Juncus arcticus","arctic rush","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Golden Valley, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McIntosh, McLean, Mercer, Morton, Mountrail, Oliver, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Towner, Walsh, Ward, Wells, Williams)"
"Juncus arcticus ssp. littoralis","mountain rush","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Golden Valley, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McIntosh, McLean, Mercer, Morton, Mountrail, Oliver, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Towner, Walsh, Ward, Wells, Williams)"
"Juncus bufonius","toad rush","ND(Barnes, Benson, Bottineau, Burke, Divide, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, Mountrail, Nelson, Pembina, Ransom, Renville, Richland, Rolette, Sioux, Steele, Stutsman, Ward, Williams)"
"Juncus bufonius var. bufonius","toad rush","ND(Barnes, Benson, Bottineau, Burke, Divide, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, Mountrail, Nelson, Pembina, Ransom, Renville, Richland, Rolette, Sioux, Steele, Stutsman, Ward, Williams)"
"Juncus dudleyi","Dudley's rush","ND(Barnes, Billings, Bottineau, Bowman, Burke, Cass, Dickey, Divide, Dunn, Emmons, Grand Forks, Griggs, Hettinger, Kidder, McLean, Mercer, Morton, Mountrail, Pembina, Ransom, Richland, Rolette, Sioux, Stark, Steele, Stutsman, Williams)"
"Juncus gerardii","saltmeadow rush","ND(Cass, Richland)"
"Juncus gerardii var. gerardii","saltmeadow rush","ND(Cass, Richland)"
"Juncus interior","inland rush","ND(Adams, Barnes, Billings, Bottineau, Bowman, Burke, Cass, Divide, Eddy, Emmons, Grant, Hettinger, McIntosh, McKenzie, McLean, Morton, Ransom, Renville, Richland, Sargent, Slope, Stutsman, Wells, Williams)"
"Juncus interior var. interior","inland rush","ND(Adams, Barnes, Billings, Bottineau, Bowman, Burke, Cass, Divide, Eddy, Emmons, Grant, Hettinger, McIntosh, McKenzie, McLean, Morton, Ransom, Renville, Richland, Sargent, Slope, Stutsman, Wells, Williams)"
"Juncus longistylis","longstyle rush","ND(Billings, Burke, Dickey, Divide, Eddy, Kidder, McHenry, McIntosh, Mountrail, Nelson, Pembina, Pierce, Ransom, Rolette, Slope, Williams)"
"Juncus longistylis var. longistylis","longstyle rush","ND(Billings, Burke, Dickey, Divide, Eddy, Kidder, McHenry, McIntosh, Mountrail, Nelson, Pembina, Pierce, Ransom, Rolette, Slope, Williams)"
"Juncus nodosus","knotted rush","ND(Barnes, Billings, Bottineau, Burke, Cass, Cavalier, Divide, Eddy, Emmons, Foster, Grand Forks, Hettinger, McHenry, Mountrail, Nelson, Pembina, Ransom, Richland, Rolette, Sargent, Stark, Stutsman, Walsh, Ward)"
"Juncus nodosus var. nodosus","knotted rush","ND(Barnes, Billings, Bottineau, Burke, Cass, Cavalier, Divide, Eddy, Emmons, Foster, Grand Forks, Hettinger, McHenry, Mountrail, Nelson, Pembina, Ransom, Richland, Rolette, Sargent, Stark, Stutsman, Walsh, Ward)"
"Juncus torreyi","Torrey's rush","ND(Barnes, Billings, Bottineau, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Ramsey, Ransom, Richland, Rolette, Sargent, Sheridan, Slope, Stark, Steele, Stutsman, Towner, Walsh, Ward, Williams)"
"Juniperus","juniper","ND(Adams, Barnes, Billings, Bowman, Burke, Cass, Cavalier, Dunn, Eddy, Emmons, Golden Valley, Grant, McKenzie, Mercer, Morton, Mountrail, Oliver, Pembina, Rolette, Sargent, Sioux, Slope, Stark, Williams)"
"Juniperus communis","common juniper","ND(Adams, Billings, Bowman, Cavalier, Dunn, Emmons, Golden Valley, Grant, McKenzie, Morton, Mountrail, Oliver, Sioux, Slope, Stark, Williams)"
"Juniperus communis var. depressa","common juniper","ND(Adams, Billings, Bowman, Cavalier, Dunn, Emmons, Golden Valley, Grant, McKenzie, Morton, Mountrail, Oliver, Sioux, Slope, Stark, Williams)"
"Juniperus horizontalis","creeping juniper","ND(Billings, Bowman, Burke, Cavalier, Dunn, Emmons, Golden Valley, Grant, McKenzie, Mercer, Morton, Mountrail, Oliver, Pembina, Rolette, Sioux, Slope, Williams)"
"Juniperus scopulorum","Rocky Mountain juniper","ND(Barnes, Billings, Bowman, Dunn, Eddy, Emmons, Golden Valley, Grant, McKenzie, Morton, Mountrail, Pembina, Sargent, Sioux, Slope, Stark, Williams)"
"Juniperus virginiana","eastern redcedar","ND(Cass)"
"Juniperus virginiana var. virginiana","eastern redcedar","ND(Cass)"
"Knautia","scabiosa","ND(Grand Forks, Pierce, Ward)"
"Knautia arvensis","field scabiosa","ND(Grand Forks, Pierce, Ward)"
"Koeleria","Junegrass","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Towner, Traill, Ward, Wells, Williams)"
"Koeleria macrantha","prairie Junegrass","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Towner, Traill, Ward, Wells, Williams)"
"Krascheninnikovia","winterfat","ND(Billings, Bowman, Burke, Burleigh, Divide, Dunn, Emmons, Golden Valley, Grant, McKenzie, McLean, Mercer, Morton, Mountrail, Oliver, Sioux, Slope, Stark, Ward, Williams)"
"Krascheninnikovia lanata","winterfat","ND(Billings, Bowman, Burke, Burleigh, Divide, Dunn, Emmons, Golden Valley, Grant, McKenzie, McLean, Mercer, Morton, Mountrail, Oliver, Sioux, Slope, Stark, Ward, Williams)"
"Lactuca","lettuce","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Traill, Walsh, Ward, Wells, Williams)"
"Lactuca biennis","tall blue lettuce","ND(Barnes, Bottineau, Cass, Grand Forks, Pembina, Ransom, Richland, Walsh)"
"Lactuca canadensis","Canada lettuce","ND(Barnes, Billings, Bottineau, Dunn, Grand Forks, McLean, Oliver, Pembina, Ransom, Richland, Slope)"
"Lactuca ludoviciana","biannual lettuce","ND(Barnes, Burleigh, Cass, Dickey, Foster, Grant, Kidder, McHenry, McLean, Mountrail, Oliver, Pembina, Ransom, Richland, Sargent, Sioux, Slope, Stark, Steele, Stutsman, Traill, Ward, Williams)"
"Lactuca serriola","prickly lettuce","ND(Barnes, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Emmons, Golden Valley, Grand Forks, Griggs, Hettinger, Kidder, LaMoure, McIntosh, McKenzie, McLean, Mercer, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Richland, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Walsh, Ward, Williams)"
"Lactuca tatarica","blue lettuce","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Sargent, Sheridan, Slope, Stark, Steele, Stutsman, Traill, Walsh, Ward, Wells, Williams)"
"Lactuca tatarica var. pulchella","blue lettuce","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Sargent, Sheridan, Slope, Stark, Steele, Stutsman, Traill, Walsh, Ward, Wells, Williams)"
"Lamium","deadnettle","ND(Cavalier, Stark)"
"Lamium amplexicaule","henbit deadnettle","ND(Cavalier, Stark)"
"Laportea","laportea","ND(Barnes, Cass, Grand Forks, Griggs, LaMoure, McHenry, Pembina, Ransom, Renville, Richland, Steele, Stutsman, Traill, Walsh)"
"Laportea canadensis","Canadian woodnettle","ND(Barnes, Cass, Grand Forks, Griggs, LaMoure, McHenry, Pembina, Ransom, Renville, Richland, Steele, Stutsman, Traill, Walsh)"
"Lappula","stickseed","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Towner, Traill, Ward, Wells, Williams)"
"Lappula cenchrusoides","Great Plains stickseed","ND(Billings, Dunn, McKenzie, Sioux, Slope, Williams)"
"Lappula occidentalis","flatspine stickseed","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burleigh, Cass, Dickey, Dunn, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Oliver, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Sheridan, Sioux, Slope, Stark, Steele, Ward, Wells, Williams)"
"Lappula occidentalis var. cupulata","flatspine stickseed","ND(Billings)"
"Lappula occidentalis var. occidentalis","flatspine stickseed","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burleigh, Cass, Dickey, Dunn, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Oliver, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Sheridan, Sioux, Slope, Stark, Steele, Ward, Wells, Williams)"
"Lappula squarrosa","European stickseed","ND(Adams, Barnes, Benson, Billings, Bowman, Burke, Cass, Cavalier, Dickey, Divide, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Griggs, Kidder, LaMoure, Logan, McIntosh, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Towner, Traill, Ward, Wells, Williams)"
"Lapsana","nipplewort","ND(Cass)"
"Lapsana communis","common nipplewort","ND(Cass)"
"Lathyrus","pea","ND(Barnes, Benson, Bottineau, Burke, Cass, Cavalier, Eddy, Grand Forks, Griggs, McHenry, Morton, Mountrail, Nelson, Oliver, Pembina, Ramsey, Ransom, Richland, Rolette, Sargent, Steele, Walsh, Ward)"
"Lathyrus ochroleucus","cream pea","ND(Barnes, Benson, Bottineau, Burke, Cass, Cavalier, Grand Forks, Mountrail, Oliver, Pembina, Ramsey, Ransom, Richland, Rolette, Sargent, Walsh, Ward)"
"Lathyrus palustris","marsh pea","ND(Barnes, Benson, Burke, Cass, Eddy, Grand Forks, Griggs, McHenry, Pembina, Ransom, Richland, Rolette, Steele, Walsh)"
"Lathyrus venosus","veiny pea","ND(Barnes, Benson, Bottineau, Cass, Cavalier, Grand Forks, Morton, Nelson, Pembina, Ransom, Richland, Rolette, Steele, Ward)"
"Lechea","pinweed","ND(Bowman, Richland)"
"Lechea stricta","prairie pinweed","ND(Bowman, Richland)"
"Leersia","cutgrass","ND(Barnes, Burleigh, Cass, Dickey, Emmons, Foster, Grand Forks, Grant, Griggs, McIntosh, Morton, Oliver, Pembina, Ransom, Richland, Sioux, Stark, Steele, Stutsman, Traill, Walsh)"
"Leersia oryzoides","rice cutgrass","ND(Barnes, Burleigh, Cass, Dickey, Emmons, Foster, Grand Forks, Grant, Griggs, McIntosh, Morton, Oliver, Pembina, Ransom, Richland, Sioux, Stark, Steele, Stutsman, Traill, Walsh)"
"Leersia virginica","whitegrass","ND(Richland)"
"Lemna","duckweed","ND(Barnes, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Grand Forks, Grant, Griggs, Kidder, Logan, McHenry, McKenzie, McLean, Mercer, Mountrail, Nelson, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Slope, Stark, Steele, Stutsman, Towner, Traill, Walsh, Ward, Wells, Williams)"
"Lemna minor","common duckweed","ND(Barnes, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Grand Forks, Grant, Griggs, Kidder, McHenry, McKenzie, McLean, Mercer, Mountrail, Nelson, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Sargent, Sheridan, Slope, Stark, Stutsman, Towner, Traill, Walsh, Ward, Williams)"
"Lemna perpusilla","minute duckweed","ND(Bottineau, Cass, Grand Forks, Griggs, Richland, Rolette, Ward)"
"Lemna trisulca","star duckweed","ND(Barnes, Bottineau, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Eddy, Emmons, Foster, Grand Forks, Griggs, Kidder, Logan, McLean, Mountrail, Nelson, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Steele, Stutsman, Traill, Ward, Wells, Williams)"
"Leonurus","motherwort","ND(Barnes, Bottineau, Burke, Burleigh, Cass, Cavalier, Golden Valley, Grand Forks, LaMoure, Nelson, Pembina, Ransom, Richland, Steele, Stutsman, Traill, Walsh, Ward)"
"Leonurus cardiaca","common motherwort","ND(Barnes, Bottineau, Burke, Burleigh, Cass, Cavalier, Golden Valley, Grand Forks, LaMoure, Nelson, Pembina, Ransom, Richland, Steele, Stutsman, Traill, Walsh, Ward)"
"Leonurus cardiaca ssp. cardiaca","common motherwort","ND(Barnes, Bottineau, Burke, Burleigh, Cass, Cavalier, Golden Valley, Grand Forks, LaMoure, Nelson, Pembina, Ransom, Richland, Steele, Stutsman, Traill, Walsh, Ward)"
"Lepidium","pepperweed","ND(Barnes, Benson, Billings, Bottineau, Cass, Cavalier, Dunn, Eddy, Emmons, Foster, Griggs, Hettinger, Kidder, McHenry, McKenzie, McLean, Mountrail, Nelson, Pembina, Pierce, Ramsey, Sheridan, Slope, Stark, Stutsman, Towner, Ward, Wells, Williams)"
"Lepidium perfoliatum","clasping pepperweed","ND(Billings, Cass, Emmons, Hettinger, McKenzie, Williams)"
"Lepidium ramosissimum","manybranched pepperweed","ND(Barnes, Benson, Bottineau, Cass, Cavalier, Dunn, Eddy, Foster, Griggs, Kidder, McHenry, McKenzie, McLean, Mountrail, Nelson, Pembina, Pierce, Ramsey, Sheridan, Slope, Stark, Stutsman, Towner, Ward, Wells, Williams)"
