"","",""
"Abies","fir","VA(Grayson, Madison, Page, Smyth)"
"Glyceria","mannagrass","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Appomattox, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Glyceria acutiflora","creeping mannagrass","VA(Alleghany, Amherst, Augusta, Bath, Craig, Frederick, Greene, Highland, Page, Rockingham, Wythe)"
"Glyceria canadensis","rattlesnake mannagrass","VA(Alleghany, Augusta, Bath, Carroll, Craig, Floyd, Giles, Grayson, Highland, Prince George)"
"Glyceria grandis","American mannagrass","VA(Floyd, Highland, James City)"
"Glyceria grandis var. grandis","American mannagrass","VA(Floyd, Highland, James City)"
"Glyceria melicaria","melic mannagrass","VA(Albemarle, Alleghany, Amherst, Augusta, Bath, Bedford, Bland, Carroll, Craig, Fauquier, Floyd, Franklin, Giles, Grayson, Greene, Highland, Lee, Madison, Montgomery, Nelson, Page, Patrick, Rappahannock, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Tazewell, Warren, Washington, Wise, Wythe)"
"Glyceria obtusa","Atlantic mannagrass","VA(Accomack, Augusta, Brunswick, Caroline, Charles City, Chesapeake (city), Chesterfield, Essex, Henrico, Isle of Wight, James City, King William, King and Queen, Lancaster, Mathews, Northumberland, Prince George, Richmond, Rockbridge, Southampton, Spotsylvania, Sussex, Westmoreland)"
"Glyceria septentrionalis","floating mannagrass","VA(Accomack, Albemarle, Amherst, Appomattox, Augusta, Bath, Bland, Botetourt, Buckingham, Campbell, Chesapeake (city), Craig, Culpeper, Cumberland, Dinwiddie, Fairfax, Fauquier, Giles, Greensville, Halifax, Hanover, Henrico, Highland, James City, King George, Loudoun, Mecklenburg, Page, Pittsylvania, Prince Edward, Prince George, Rockbridge, Rockingham, Shenandoah, Smyth, Southampton, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city))"
"Glyceria striata","fowl mannagrass","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Appomattox, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Spotsylvania, Stafford, Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Gnaphalium","cudweed","VA(Madison, Page, Rockingham)"
"Gnaphalium uliginosum","marsh cudweed","VA(Madison, Page, Rockingham)"
"Goodyera","rattlesnake plantain","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northumberland, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Goodyera pubescens","downy rattlesnake plantain","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northumberland, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Goodyera repens","lesser rattlesnake plantain","VA(Amherst, Augusta, Bland, Botetourt, Carroll, Craig, Giles, Grayson, Montgomery, Pulaski, Roanoke, Rockbridge, Rockingham, Smyth, Washington, Wythe)"
"Gratiola","hedgehyssop","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Arlington, Augusta, Bath, Bedford, Bland, Brunswick, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Culpeper, Cumberland, Dinwiddie, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greensville, Halifax, Hampton (city), Hanover, Henrico, Highland, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Nelson, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Richmond, Rockbridge, Rockingham, Smyth, Southampton, Spotsylvania, Suffolk (city), Surry, Sussex, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, York)"
"Gratiola neglecta","clammy hedgehyssop","VA(Accomack, Albemarle, Alleghany, Amherst, Arlington, Augusta, Bath, Bedford, Bland, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Culpeper, Cumberland, Dinwiddie, Fairfax, Fauquier, Floyd, Fluvanna, Frederick, Giles, Gloucester, Goochland, Grayson, Greensville, Halifax, Hanover, Highland, James City, King George, King and Queen, Lee, Loudoun, Louisa, Madison, Middlesex, Nelson, New Kent, Northampton, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Rockbridge, Rockingham, Smyth, Southampton, Spotsylvania, Suffolk (city), Surry, Virginia Beach (city), Warren, Washington, Wise)"
"Gratiola pilosa","shaggy hedgehyssop","VA(Accomack, Amelia, Brunswick, Caroline, Charles City, Charlotte, Chesapeake (city), Chesterfield, Dinwiddie, Essex, Fluvanna, Gloucester, Goochland, Greensville, Hampton (city), Hanover, Henrico, Isle of Wight, James City, King George, King and Queen, Lancaster, Louisa, Mathews, Mecklenburg, Middlesex, New Kent, Newport News (city), Northampton, Nottoway, Powhatan, Prince Edward, Richmond, Southampton, Spotsylvania, Suffolk (city), Surry, Sussex, Virginia Beach (city), Westmoreland, York)"
"Gratiola virginiana","roundfruit hedgehyssop","VA(Accomack, Amelia, Brunswick, Campbell, Caroline, Charles City, Chesapeake (city), Chesterfield, Essex, Fairfax, Franklin, Gloucester, Goochland, Greensville, Halifax, Hampton (city), Hanover, Henrico, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Louisa, Mathews, Mecklenburg, Middlesex, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Pittsylvania, Powhatan, Prince Edward, Prince George, Richmond, Southampton, Spotsylvania, Suffolk (city), Surry, Sussex, Virginia Beach (city), Westmoreland, York)"
"Gratiola viscidula","Short's hedgehyssop","VA(Amelia, Brunswick, Charlotte, Cumberland, Dinwiddie, Fairfax, Greensville, Henrico, James City, Lunenburg, Mecklenburg, Powhatan, Prince George, Prince William, Richmond, Southampton, Suffolk (city), Sussex)"
"Grewia","grewia","VA(Albemarle)"
"Grewia biloba","bilobed grewia","VA(Albemarle)"
"Grindelia","gumweed","VA(Fairfax, Giles, Montgomery)"
"Grindelia lanceolata","narrowleaf gumweed","VA(Giles)"
"Grindelia lanceolata var. lanceolata","narrowleaf gumweed","VA(Giles)"
"Grindelia squarrosa","curlycup gumweed","VA(Fairfax, Montgomery)"
"Grindelia squarrosa var. squarrosa","curlycup gumweed","VA(Fairfax, Montgomery)"
"Guizotia","guizotia","VA(Middlesex)"
"Guizotia abyssinica","ramtilla","VA(Middlesex)"
"Gymnocarpium","oakfern","VA(Albemarle, Alleghany, Augusta, Bath, Greene, Highland, Madison, Nelson, Page, Rappahannock, Rockbridge, Rockingham, Warren)"
"Gymnocarpium appalachianum","Appalachian oakfern","VA(Albemarle, Alleghany, Augusta, Bath, Greene, Highland, Madison, Nelson, Page, Rappahannock, Rockbridge, Rockingham, Warren)"
"Gymnocladus","coffeetree","VA(Giles, Lee, Russell, Scott, Washington)"
"Gymnocladus dioicus","Kentucky coffeetree","VA(Giles, Lee, Russell, Scott, Washington)"
"Gymnopogon","skeletongrass","VA(Accomack, Albemarle, Appomattox, Bedford, Brunswick, Caroline, Charlotte, Chesapeake (city), Fairfax, Fluvanna, Greensville, Halifax, Hanover, Henrico, Isle of Wight, James City, King William, Lunenburg, Mecklenburg, Middlesex, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Pittsylvania, Prince Edward, Prince George, Southampton, Suffolk (city), Surry, Sussex, Virginia Beach (city))"
"Gymnopogon ambiguus","bearded skeletongrass","VA(Accomack, Albemarle, Appomattox, Bedford, Brunswick, Caroline, Charlotte, Chesapeake (city), Fairfax, Fluvanna, Halifax, Hanover, Henrico, Isle of Wight, James City, King William, Lunenburg, Mecklenburg, Middlesex, New Kent, Newport News (city), Northampton, Nottoway, Pittsylvania, Prince Edward, Prince George, Southampton, Suffolk (city), Surry, Sussex)"
"Gymnopogon brevifolius","shortleaf skeletongrass","VA(Brunswick, Chesapeake (city), Greensville, Isle of Wight, Lunenburg, Northumberland, Prince George, Suffolk (city), Sussex, Virginia Beach (city))"
"Hackelia","stickseed","VA(Albemarle, Amelia, Amherst, Augusta, Bedford, Botetourt, Brunswick, Campbell, Clarke, Culpeper, Cumberland, Fairfax, Fauquier, Fluvanna, Frederick, Giles, Gloucester, Goochland, Greene, Hanover, Henrico, Highland, James City, King George, Lee, Loudoun, Lunenburg, Mecklenburg, Montgomery, Nelson, New Kent, Newport News (city), Page, Patrick, Powhatan, Prince Edward, Prince William, Rappahannock, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Suffolk (city), Surry, Warren, Wythe, York)"
"Hackelia virginiana","beggarslice","VA(Albemarle, Amelia, Amherst, Augusta, Bedford, Botetourt, Brunswick, Campbell, Clarke, Culpeper, Cumberland, Fairfax, Fauquier, Fluvanna, Frederick, Giles, Gloucester, Goochland, Greene, Hanover, Henrico, Highland, James City, King George, Lee, Loudoun, Lunenburg, Mecklenburg, Montgomery, Nelson, New Kent, Newport News (city), Page, Patrick, Powhatan, Prince Edward, Prince William, Rappahannock, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Suffolk (city), Surry, Warren, Wythe, York)"
"Halesia","silverbell","VA(Carroll, Giles, Grayson, Montgomery, Pulaski, Wythe)"
"Halesia tetraptera","mountain silverbell","VA(Carroll, Giles, Grayson, Montgomery, Pulaski, Wythe)"
"Halesia tetraptera var. tetraptera","mountain silverbell","VA(Carroll, Giles, Grayson, Montgomery, Pulaski, Wythe)"
"Hamamelis","witchhazel","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Grayson, Greene, Halifax, Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King William, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince William, Pulaski, Rappahannock, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, Wythe)"
"Hamamelis virginiana","American witchhazel","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Grayson, Greene, Halifax, Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King William, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince William, Pulaski, Rappahannock, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, Wythe)"
"Hasteola","false Indian plantain","VA(Arlington, Carroll, Fairfax, Giles, Loudoun, Montgomery, Pulaski)"
"Hasteola suaveolens","false Indian plantain","VA(Arlington, Carroll, Fairfax, Giles, Loudoun, Montgomery, Pulaski)"
"Hedeoma","false pennyroyal","VA(Albemarle, Alleghany, Amelia, Amherst, Appomattox, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Carroll, Charlotte, Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Grayson, Greene, Halifax, Hanover, Henrico, Highland, King George, Lee, Loudoun, Louisa, Lunenburg, Madison, Mecklenburg, Montgomery, Nelson, Northampton, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Roanoke, Rockbridge, Rockingham, Scott, Shenandoah, Smyth, Stafford, Surry, Sussex, Tazewell, Warren, Westmoreland, Wise, Wythe)"
"Hedeoma hispida","rough false pennyroyal","VA(Fauquier)"
"Hedeoma pulegioides","American false pennyroyal","VA(Albemarle, Alleghany, Amelia, Amherst, Appomattox, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Carroll, Charlotte, Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Grayson, Greene, Halifax, Hanover, Henrico, Highland, King George, Lee, Loudoun, Louisa, Lunenburg, Madison, Mecklenburg, Montgomery, Nelson, Northampton, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Roanoke, Rockbridge, Rockingham, Scott, Shenandoah, Smyth, Stafford, Surry, Sussex, Tazewell, Warren, Westmoreland, Wise, Wythe)"
"Hedera","ivy","VA(Accomack, Albemarle, Amherst, Arlington, Campbell, Caroline, Charles City, Chesapeake (city), Chesterfield, Essex, Fairfax, Fauquier, Fluvanna, Gloucester, Hanover, James City, King George, King William, King and Queen, Loudoun, Mathews, Middlesex, Nelson, New Kent, Newport News (city), Northampton, Orange, Prince George, Prince William, Richmond, Spotsylvania, Suffolk (city), Surry, Sussex, York)"
"Hedera helix","English ivy","VA(Accomack, Albemarle, Amherst, Arlington, Campbell, Caroline, Charles City, Chesapeake (city), Chesterfield, Essex, Fairfax, Fauquier, Fluvanna, Gloucester, Hanover, James City, King George, King William, King and Queen, Loudoun, Mathews, Middlesex, Nelson, New Kent, Newport News (city), Northampton, Orange, Prince George, Prince William, Richmond, Spotsylvania, Suffolk (city), Surry, Sussex, York)"
"Helenium","sneezeweed","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Grayson, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Nottoway, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Helenium amarum","sneezeweed","VA(Accomack, Brunswick, Campbell, Caroline, Charlotte, Chesapeake (city), Chesterfield, Culpeper, Dinwiddie, Fairfax, Gloucester, Greensville, Halifax, Hampton (city), Henrico, Henry, Isle of Wight, James City, King William, King and Queen, Lancaster, Lunenburg, Mathews, Mecklenburg, New Kent, Newport News (city), Northampton, Nottoway, Patrick, Pittsylvania, Prince George, Roanoke, Southampton, Spotsylvania, Suffolk (city), Surry, Sussex, Virginia Beach (city), York)"
