"","",""
"Abutilon","Indian mallow","SC(Kershaw)"
"Iris","iris","SC(Aiken, Allendale, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Florence, Georgetown, Greenville, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Oconee, Orangeburg, Pickens, Richland, Spartanburg, Sumter, Union, Williamsburg)"
"Iris cristata","dwarf crested iris","SC(Cherokee, Kershaw, Lancaster, Richland, Union)"
"Iris germanica","German iris","SC(Cherokee, Laurens, Spartanburg)"
"Iris hexagona","Dixie iris","SC(Beaufort, Calhoun, Charleston)"
"Iris hexagona var. hexagona","Dixie iris","SC(Beaufort, Calhoun, Charleston)"
"Iris prismatica","slender blue iris","SC(Florence)"
"Iris tridentata","savannah iris","SC(Berkeley, Darlington, Dillon, Florence, Georgetown, Horry, Marion, Orangeburg, Williamsburg)"
"Iris verna","dwarf violet iris","SC(Aiken, Allendale, Barnwell, Calhoun, Cherokee, Chesterfield, Darlington, Dillon, Horry, Lee, Lexington, Marion, Marlboro, Oconee, Pickens, Richland, Spartanburg)"
"Iris verna var. smalliana","dwarf violet iris","SC(Pickens)"
"Iris verna var. verna","dwarf violet iris","SC(Aiken, Allendale, Barnwell, Chesterfield, Darlington, Dillon, Horry, Lee, Lexington, Marion, Marlboro, Richland)"
"Iris virginica","Virginia iris","SC(Aiken, Allendale, Bamberg, Barnwell, Berkeley, Charleston, Cherokee, Clarendon, Colleton, Darlington, Dillon, Dorchester, Georgetown, Greenville, Hampton, Horry, Jasper, Lexington, Marion, McCormick, Spartanburg, Sumter, Williamsburg)"
"Isoetes","quillwort","SC(Berkeley, Darlington, Dillon, Dorchester, Edgefield, Lancaster, Lexington, Marlboro, Oconee, Pickens, York)"
"Isoetes engelmannii","Appalachian quillwort","SC(Berkeley, Darlington, Dorchester, Edgefield, Lancaster, Lexington, Marlboro, Oconee, Pickens, York)"
"Isoetes melanopoda","blackfoot quillwort","SC(Darlington, Lancaster, York)"
"Isoetes riparia","shore quillwort","SC(Dillon)"
"Isoetes riparia var. riparia","shore quillwort","SC(Dillon)"
"Isolepis","bulrush","SC(Fairfield, Lancaster, Lexington, Saluda, York)"
"Isolepis carinata","keeled bulrush","SC(Fairfield, Lancaster, Lexington, Saluda, York)"
"Isotria","fiveleaf orchid","SC(Darlington, Oconee)"
"Isotria verticillata","large whorled pogonia","SC(Darlington, Oconee)"
"Itea","sweetspire","SC(Aiken, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Edgefield, Florence, Georgetown, Greenville, Greenwood, Hampton, Horry, Jasper, Lancaster, Laurens, Lee, Lexington, Marlboro, Oconee, Orangeburg, Pickens, Richland, Saluda, Sumter, Williamsburg)"
"Itea virginica","Virginia sweetspire","SC(Aiken, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Edgefield, Florence, Georgetown, Greenville, Greenwood, Hampton, Horry, Jasper, Lancaster, Laurens, Lee, Lexington, Marlboro, Oconee, Orangeburg, Pickens, Richland, Saluda, Sumter, Williamsburg)"
"Iva","marsh elder","SC(Aiken, Allendale, Bamberg, Barnwell, Beaufort, Charleston, Georgetown, Horry, Jasper)"
"Iva frutescens","Jesuit's bark","SC(Beaufort, Charleston, Georgetown, Horry, Jasper)"
"Iva frutescens ssp. frutescens","Jesuit's bark","SC(Beaufort, Charleston, Georgetown, Horry, Jasper)"
"Iva imbricata","seacoast marsh elder","SC(Charleston, Georgetown, Horry)"
"Iva microcephala","piedmont marsh elder","SC(Aiken, Allendale, Bamberg, Barnwell)"
"Jacquemontia","clustervine","SC(Beaufort, Berkeley, Charleston, Florence, Hampton, Horry, Jasper, Lexington, Marion, McCormick, Sumter)"
"Jacquemontia tamnifolia","hairy clustervine","SC(Beaufort, Berkeley, Charleston, Florence, Hampton, Horry, Jasper, Lexington, Marion, McCormick, Sumter)"
"Juglans","walnut","SC(Abbeville, Aiken, Barnwell, Berkeley, Charleston, Cherokee, Chester, Clarendon, Darlington, Dorchester, Fairfield, Lancaster, Newberry, Oconee, Pickens, Saluda, Union)"
"Juglans cinerea","butternut","SC(Union)"
"Juglans nigra","black walnut","SC(Abbeville, Aiken, Barnwell, Berkeley, Charleston, Cherokee, Chester, Clarendon, Darlington, Dorchester, Fairfield, Lancaster, Newberry, Oconee, Pickens, Saluda)"
"Juncus","rush","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenville, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, Williamsburg, York)"
"Juncus abortivus","annual rush","SC(Darlington, Georgetown)"
"Juncus acuminatus","tapertip rush","SC(Abbeville, Aiken, Allendale, Barnwell, Berkeley, Charleston, Cherokee, Chesterfield, Clarendon, Darlington, Dillon, Fairfield, Greenwood, Horry, Jasper, Kershaw, Lancaster, Lexington, Marlboro, Newberry, Oconee, Orangeburg, Pickens, Sumter, York)"
"Juncus biflorus","bog rush","SC(Abbeville, Aiken, Allendale, Bamberg, Barnwell, Beaufort, Berkeley, Charleston, Cherokee, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Edgefield, Fairfield, Florence, Georgetown, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Lee, Lexington, Marlboro, McCormick, Newberry, Orangeburg, Saluda, Sumter, Williamsburg)"
"Juncus brachycarpus","whiteroot rush","SC(Dillon, Lancaster, Lexington, McCormick, Newberry, Saluda)"
"Juncus bufonius","toad rush","SC(Aiken, Allendale, Bamberg, Barnwell, Berkeley, Charleston, Colleton, Dillon, Edgefield, Florence, Hampton, Jasper, Lancaster, Lexington, McCormick, Newberry, Orangeburg, Saluda, Sumter, Williamsburg, York)"
"Juncus bufonius var. bufonius","toad rush","SC(Aiken, Allendale, Bamberg, Barnwell, Berkeley, Charleston, Colleton, Dillon, Edgefield, Florence, Hampton, Jasper, Lancaster, Lexington, McCormick, Newberry, Orangeburg, Saluda, Sumter, Williamsburg, York)"
"Juncus canadensis","Canadian rush","SC(Aiken, Bamberg, Barnwell, Chesterfield, Darlington, Florence, Hampton, Horry, Lexington, Marlboro, Richland, Sumter, Williamsburg)"
"Juncus coriaceus","leathery rush","SC(Abbeville, Aiken, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Cherokee, Chesterfield, Clarendon, Edgefield, Fairfield, Florence, Georgetown, Greenwood, Hampton, Horry, Kershaw, Lancaster, Lee, Marlboro, McCormick, Oconee, Orangeburg, Saluda, Spartanburg, Sumter, York)"
"Juncus debilis","weak rush","SC(Aiken, Barnwell, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Horry, Kershaw, Lancaster, Lexington, Marlboro, Richland, Saluda, Sumter, Williamsburg)"
"Juncus dichotomus","forked rush","SC(Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Charleston, Cherokee, Clarendon, Colleton, Dillon, Dorchester, Edgefield, Florence, Georgetown, Greenville, Greenwood, Horry, Jasper, Kershaw, Lancaster, Laurens, Lexington, Marlboro, McCormick, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Williamsburg, York)"
"Juncus diffusissimus","slimpod rush","SC(Abbeville, Aiken, Bamberg, Barnwell, Beaufort, Berkeley, Charleston, Dillon, Dorchester, Georgetown, Kershaw, Lancaster, Lee, Marlboro, Oconee, Orangeburg, Sumter, Williamsburg)"
"Juncus dudleyi","Dudley's rush","SC(Williamsburg)"
"Juncus effusus","common rush","SC(Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Edgefield, Fairfield, Georgetown, Greenville, Greenwood, Hampton, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, McCormick, Newberry, Oconee, Orangeburg, Pickens, Saluda, Spartanburg, Union, York)"
"Juncus elliottii","Elliott's rush","SC(Aiken, Berkeley, Clarendon, Colleton, Florence, Georgetown, Hampton, Horry, Jasper, Lee, Orangeburg, Williamsburg)"
"Juncus elliottii var. elliottii","Elliott's rush","SC(Aiken, Berkeley, Clarendon, Colleton, Florence, Georgetown, Hampton, Horry, Jasper, Lee, Orangeburg, Williamsburg)"
"Juncus georgianus","Georgia rush","SC(Lancaster)"
"Juncus gymnocarpus","Pennsylvania rush","SC(Pickens)"
"Juncus longii","Long's rush","SC(Greenville, Lancaster, Lexington)"
"Juncus marginatus","grassleaf rush","SC(Abbeville, Aiken, Anderson, Bamberg, Berkeley, Charleston, Dillon, Kershaw, Lancaster, Lexington, Marlboro, McCormick, Orangeburg, Pickens, Sumter, Williamsburg)"
"Juncus megacephalus","bighead rush","SC(Beaufort, Georgetown, Horry, Marion)"
"Juncus paludosus","swamp rush","SC(Berkeley)"
"Juncus polycephalos","manyhead rush","SC(Allendale, Bamberg, Berkeley, Clarendon, Colleton, Dillon, Dorchester, Florence, Georgetown, Hampton, Horry, Jasper, Lee, Sumter, Williamsburg)"
"Juncus repens","lesser creeping rush","SC(Aiken, Allendale, Bamberg, Barnwell, Charleston, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Georgetown, Hampton, Horry, Jasper, Kershaw, Lee, Marion, Marlboro, Orangeburg, Sumter, Williamsburg)"
"Juncus roemerianus","needlegrass rush","SC(Charleston, Georgetown, Horry)"
"Juncus scirpoides","needlepod rush","SC(Abbeville, Aiken, Bamberg, Barnwell, Beaufort, Berkeley, Charleston, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenwood, Hampton, Horry, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Orangeburg, Saluda, Sumter, Williamsburg)"
"Juncus subcaudatus","woodland rush","SC(Oconee)"
"Juncus subcaudatus var. subcaudatus","woodland rush","SC(Oconee)"
"Juncus tenuis","poverty rush","SC(Abbeville, Aiken, Anderson, Barnwell, Berkeley, Charleston, Chesterfield, Darlington, Edgefield, Greenville, Greenwood, Kershaw, Lancaster, Lee, Marlboro, McCormick, Newberry, Oconee, Pickens, Richland, Saluda, Spartanburg, Sumter)"
"Juncus trigonocarpus","redpod rush","SC(Chesterfield, Darlington, Edgefield, Florence, Kershaw, Marlboro)"
"Juncus validus","roundhead rush","SC(Allendale, Beaufort, Charleston, Edgefield, Pickens)"
"Juncus validus var. validus","roundhead rush","SC(Allendale, Beaufort, Edgefield, Pickens)"
"Juniperus","juniper","SC(Abbeville, Aiken, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Charleston, Cherokee, Chester, Darlington, Dorchester, Fairfield, Georgetown, Greenville, Horry, Jasper, Kershaw, Lancaster, Laurens, Lexington, McCormick, Newberry, Oconee, Orangeburg, Pickens, Spartanburg, Union, York)"
"Juniperus communis","common juniper","SC(Greenville)"
"Juniperus communis var. depressa","common juniper","SC(Greenville)"
"Juniperus virginiana","eastern redcedar","SC(Abbeville, Aiken, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Charleston, Cherokee, Chester, Darlington, Dorchester, Fairfield, Georgetown, Greenville, Horry, Jasper, Kershaw, Lancaster, Laurens, Lexington, McCormick, Newberry, Oconee, Orangeburg, Pickens, Spartanburg, Union, York)"
"Juniperus virginiana var. silicicola","southern redcedar","SC(Beaufort, Berkeley, Charleston, Dorchester, Georgetown, Horry, Jasper)"
"Juniperus virginiana var. virginiana","eastern redcedar","SC(Abbeville, Aiken, Anderson, Bamberg, Barnwell, Cherokee, Chester, Darlington, Fairfield, Georgetown, Greenville, Horry, Kershaw, Lancaster, Laurens, Lexington, McCormick, Newberry, Oconee, Orangeburg, Pickens, Spartanburg, Union, York)"
"Justicia","water-willow","SC(Aiken, Allendale, Bamberg, Beaufort, Charleston, Chesterfield, Clarendon, Darlington, Dorchester, Edgefield, Florence, Hampton, Horry, Kershaw, Lee, McCormick, Orangeburg, Sumter, Union, Williamsburg)"
"Justicia americana","American water-willow","SC(Chesterfield, Edgefield, Kershaw, Union)"
"Justicia ovata","looseflower water-willow","SC(Aiken, Allendale, Bamberg, Beaufort, Charleston, Chesterfield, Clarendon, Darlington, Dorchester, Florence, Hampton, Horry, Lee, McCormick, Orangeburg, Sumter, Williamsburg)"
"Justicia ovata var. ovata","looseflower water-willow","SC(Aiken, Allendale, Bamberg, Beaufort, Charleston, Chesterfield, Clarendon, Darlington, Dorchester, Florence, Hampton, Horry, Lee, McCormick, Orangeburg, Sumter, Williamsburg)"
"Kalmia","laurel","SC(Aiken, Allendale, Anderson, Barnwell, Beaufort, Calhoun, Cherokee, Chesterfield, Colleton, Darlington, Edgefield, Florence, Georgetown, Greenville, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lexington, Marlboro, Oconee, Pickens, Richland, Spartanburg, Sumter)"
"Kalmia carolina","Carolina laurel","SC(Darlington, Horry, Sumter)"
"Kalmia cuneata","whitewicky","SC(Darlington)"
"Kalmia hirsuta","hairy laurel","SC(Allendale, Beaufort, Colleton, Hampton, Jasper)"
"Kalmia latifolia","mountain laurel","SC(Aiken, Anderson, Barnwell, Calhoun, Cherokee, Chesterfield, Darlington, Edgefield, Florence, Georgetown, Greenville, Greenwood, Kershaw, Lancaster, Laurens, Lexington, Marlboro, Oconee, Pickens, Richland, Spartanburg, Sumter)"
"Kickxia","cancerwort","SC(Greenwood)"
"Kickxia elatine","sharpleaf cancerwort","SC(Greenwood)"
"Kosteletzkya","kosteletzkya","SC(Beaufort, Berkeley, Charleston, Colleton, Georgetown, Horry, Jasper)"
"Kosteletzkya virginica","Virginia saltmarsh mallow","SC(Beaufort, Berkeley, Charleston, Colleton, Georgetown, Horry, Jasper)"
"Krigia","dwarfdandelion","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, Williamsburg, York)"
"Krigia caespitosa","weedy dwarfdandelion","SC(Abbeville, Aiken, Bamberg, Barnwell, Beaufort, Cherokee, Chester, Colleton, Darlington, Edgefield, Fairfield, Hampton, Kershaw, Lexington, McCormick, Newberry, Orangeburg, Saluda, Spartanburg, York)"
"Krigia dandelion","potato dwarfdandelion","SC(Berkeley, Charleston, Chester, Edgefield, Greenwood, Lancaster, Lexington, Saluda, Union, York)"
"Krigia montana","mountain dwarfdandelion","SC(Oconee, Pickens)"
"Krigia virginica","Virginia dwarfdandelion","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Fairfield, Florence, Georgetown, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, Williamsburg, York)"
"Kummerowia","kummerowia","SC(Abbeville, Aiken, Allendale, Bamberg, Barnwell, Beaufort, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Edgefield, Greenwood, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marlboro, McCormick, Oconee, Orangeburg, Pickens, Richland, Sumter, Williamsburg, York)"
"Kummerowia stipulacea","Korean clover","SC(Barnwell, Cherokee, Chesterfield, Edgefield, Greenwood, Lancaster, Lexington, Richland, York)"
"Kummerowia striata","Japanese clover","SC(Abbeville, Aiken, Allendale, Bamberg, Barnwell, Beaufort, Calhoun, Charleston, Cherokee, Chester, Clarendon, Colleton, Darlington, Dillon, Edgefield, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marlboro, McCormick, Oconee, Orangeburg, Pickens, Richland, Sumter, Williamsburg, York)"
"Kyllinga","spikesedge","SC(Allendale, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Clarendon, Colleton, Edgefield, Florence, Greenville, Greenwood, Hampton, Lee, Marlboro, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg)"
"Kyllinga brevifolia","shortleaf spikesedge","SC(Hampton)"
"Kyllinga gracillima","pasture spikesedge","SC(Charleston)"
"Kyllinga odorata","fragrant spikesedge","SC(Bamberg, Beaufort, Charleston, Clarendon, Colleton, Florence, Hampton, Orangeburg, Richland)"
"Kyllinga pumila","low spikesedge","SC(Allendale, Barnwell, Berkeley, Calhoun, Cherokee, Clarendon, Edgefield, Greenville, Greenwood, Lee, Marlboro, Oconee, Orangeburg, Pickens, Saluda, Spartanburg)"
"Lachnanthes","lachnanthes","SC(Bamberg, Barnwell, Beaufort, Berkeley, Charleston, Clarendon, Colleton, Darlington, Dillon, Georgetown, Hampton, Horry, Jasper, Orangeburg, Sumter, Williamsburg)"
"Lachnanthes caroliana","Carolina redroot","SC(Bamberg, Barnwell, Beaufort, Berkeley, Charleston, Clarendon, Colleton, Darlington, Dillon, Georgetown, Hampton, Horry, Jasper, Orangeburg, Sumter, Williamsburg)"
"Lachnocaulon","bogbutton","SC(Aiken, Allendale, Bamberg, Barnwell, Berkeley, Charleston, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Florence, Georgetown, Hampton, Horry, Jasper, Kershaw, Lexington, Marion, Marlboro, Orangeburg, Sumter, Williamsburg)"
"Lachnocaulon anceps","whitehead bogbutton","SC(Aiken, Allendale, Bamberg, Barnwell, Berkeley, Charleston, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Florence, Georgetown, Hampton, Horry, Kershaw, Lexington, Marion, Marlboro, Orangeburg, Sumter, Williamsburg)"
"Lachnocaulon beyrichianum","southern bogbutton","SC(Horry)"
"Lachnocaulon minus","Small's bogbutton","SC(Bamberg, Berkeley, Clarendon, Colleton, Georgetown, Horry, Jasper)"
"Lactuca","lettuce","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Sumter, Union, Williamsburg, York)"
"Lactuca canadensis","Canada lettuce","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Charleston, Cherokee, Chesterfield, Clarendon, Darlington, Dillon, Edgefield, Fairfield, Florence, Georgetown, Greenwood, Hampton, Horry, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Oconee, Pickens, Richland, Saluda, Sumter, Union, Williamsburg, York)"
"Lactuca floridana","woodland lettuce","SC(Aiken, Allendale, Anderson, Berkeley, Charleston, Chesterfield, Darlington, Dorchester, Edgefield, Georgetown, Hampton, Horry, Lancaster, McCormick, Newberry, Oconee, Pickens, Saluda, York)"
"Lactuca graminifolia","grassleaf lettuce","SC(Aiken, Allendale, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Chesterfield, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Lexington, Marion, Marlboro, McCormick, Orangeburg, Richland, Saluda, Williamsburg)"
"Lactuca graminifolia var. graminifolia","grassleaf lettuce","SC(Aiken, Allendale, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Chesterfield, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Lexington, Marion, Marlboro, McCormick, Orangeburg, Richland, Saluda, Williamsburg)"
"Lactuca hirsuta","hairy lettuce","SC(Abbeville, Beaufort, Charleston, Cherokee, Chester, Colleton, Georgetown, Lancaster, Laurens)"
