"","",""
"Abelia","abelia","FL(Franklin)"
"Helianthus debilis","cucumberleaf sunflower","FL(Bay, Brevard, Broward, Charlotte, Columbia, Escambia, Flagler, Franklin, Gulf, Hillsborough, Indian River, Jackson, Lake, Lee, Levy, Madison, Manatee, Martin, Miami-Dade, Orange, Palm Beach, Pinellas, Sarasota, St. Johns, St. Lucie, Volusia, Wakulla)"
"Helianthus debilis ssp. cucumerifolius","cucumberleaf sunflower","FL(Bay, Columbia, Escambia, Franklin, Gulf, Jackson, Lake, Levy, Madison, Orange, Pinellas, Sarasota, Wakulla)"
"Helianthus debilis ssp. tardiflorus","cucumberleaf sunflower","FL(Franklin, Levy, Wakulla)"
"Helianthus debilis ssp. vestitus","cucumberleaf sunflower","FL(Charlotte, Hillsborough, Lee, Manatee, Pinellas, Sarasota)"
"Helianthus divaricatus","woodland sunflower","FL(Jackson, Wakulla)"
"Helianthus floridanus","Florida sunflower","FL(Alachua, Clay, Duval, Flagler, Lake, Marion, Nassau, Osceola, Putnam, Seminole, St. Johns, Sumter, Volusia)"
"Helianthus heterophyllus","variableleaf sunflower","FL(Bay, Calhoun, Escambia, Franklin, Gulf, Holmes, Jefferson, Leon, Liberty, Okaloosa, Santa Rosa, Wakulla, Walton, Washington)"
"Helianthus hirsutus","hairy sunflower","FL(Columbia, Jackson, Leon, Walton)"
"Helianthus microcephalus","small woodland sunflower","FL(Gadsden, Jackson, Okaloosa, Washington)"
"Helianthus occidentalis","fewleaf sunflower","FL(Holmes, Walton, Washington)"
"Helianthus occidentalis ssp. occidentalis","fewleaf sunflower","FL(Holmes, Walton, Washington)"
"Helianthus radula","rayless sunflower","FL(Alachua, Bay, Bradford, Calhoun, Citrus, Clay, Collier, Columbia, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Gulf, Hardee, Hernando, Holmes, Jackson, Lake, Leon, Levy, Liberty, Madison, Marion, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Pasco, Polk, Putnam, Santa Rosa, St. Johns, Sumter, Taylor, Volusia, Walton, Washington)"
"Helianthus resinosus","resindot sunflower","FL(Gadsden, Jackson, Walton)"
"Helianthus simulans","muck sunflower","FL(Alachua, Bay, Calhoun, Escambia, Franklin, Gadsden, Jefferson, Lake, Leon, Levy, Liberty, Madison, Marion, Putnam, Santa Rosa, Volusia, Wakulla, Walton)"
"Helianthus strumosus","paleleaf woodland sunflower","FL(Alachua, Clay, Columbia, Gadsden, Holmes, Jackson, Jefferson, Leon, Liberty, Madison, Suwannee)"
"Helianthus tuberosus","Jerusalem artichoke","FL(Jackson, Jefferson, Leon, Washington)"
"Heliconia","heliconia","FL(Collier, Palm Beach)"
"Heliconia latispatha","expanded lobsterclaw","FL(Collier, Palm Beach)"
"Heliopsis","heliopsis","FL(Gadsden, Holmes, Jackson, Jefferson, Leon, Walton)"
"Heliopsis helianthoides","smooth oxeye","FL(Gadsden, Holmes, Jackson, Jefferson, Leon, Walton)"
"Heliopsis helianthoides var. gracilis","smooth oxeye","FL(Gadsden, Holmes, Jackson, Jefferson, Leon, Walton)"
"Heliotropium","heliotrope","FL(Alachua, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Gulf, Hendry, Hernando, Highlands, Hillsborough, Indian River, Jackson, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Lucie, Sumter, Taylor, Volusia, Wakulla, Walton, Washington)"
"Heliotropium amplexicaule","clasping heliotrope","FL(Alachua, Clay, Columbia, Duval, Escambia, Franklin, Gilchrist, Hernando, Lake, Leon, Levy, Madison, Marion, Nassau, Okaloosa, Orange, Pinellas, Polk, Putnam, Santa Rosa, Seminole, Sumter, Wakulla, Walton, Washington)"
"Heliotropium angiospermum","scorpion's-tail","FL(Brevard, Broward, Charlotte, Collier, Hendry, Indian River, Lee, Manatee, Martin, Miami-Dade, Monroe, Palm Beach, Pinellas, Sarasota, St. Lucie, Volusia)"
"Heliotropium curassavicum","salt heliotrope","FL(Brevard, Broward, Citrus, Collier, Franklin, Indian River, Lee, Levy, Manatee, Miami-Dade, Monroe, Pinellas, Putnam, Seminole, Volusia)"
"Heliotropium curassavicum var. curassavicum","salt heliotrope","FL(Brevard, Broward, Citrus, Collier, Franklin, Indian River, Lee, Levy, Manatee, Miami-Dade, Monroe, Pinellas, Putnam, Seminole, Volusia)"
"Heliotropium europaeum","European heliotrope","FL(Escambia)"
"Heliotropium fruticosum","Key West heliotrope","FL(Monroe)"
"Heliotropium indicum","Indian heliotrope","FL(Calhoun, Franklin, Gadsden, Gulf, Jackson, Leon, Liberty, Santa Rosa, Washington)"
"Heliotropium polyphyllum","pineland heliotrope","FL(Brevard, Broward, Charlotte, Collier, DeSoto, Dixie, Escambia, Flagler, Gilchrist, Glades, Hendry, Hernando, Highlands, Hillsborough, Indian River, Lee, Levy, Manatee, Martin, Miami-Dade, Monroe, Okeechobee, Osceola, Palm Beach, Pasco, Pinellas, Polk, Sarasota, St. Lucie, Sumter, Taylor, Volusia)"
"Heliotropium procumbens","fourspike heliotrope","FL(Calhoun, Miami-Dade)"
"Heliotropium procumbens var. procumbens","fourspike heliotrope","FL(Calhoun, Miami-Dade)"
"Hemarthria","jointgrass","FL(Brevard, Lee, Martin, Osceola)"
"Hemarthria altissima","limpograss","FL(Brevard, Lee, Martin, Osceola)"
"Hemerocallis","daylily","FL(Alachua, Escambia, Franklin, Leon, Okaloosa, Washington)"
"Hemerocallis fulva","orange daylily","FL(Alachua, Escambia, Franklin, Leon, Okaloosa, Washington)"
"Hemigraphis","hemigraphis","FL(Miami-Dade)"
"Hemigraphis alternata","redivy","FL(Miami-Dade)"
"Hemigraphis reptans","redflame","FL(Miami-Dade)"
"Hepatica","hepatica","FL(Gadsden, Jackson)"
"Hepatica nobilis","hepatica","FL(Gadsden, Jackson)"
"Hepatica nobilis var. obtusa","roundlobe hepatica","FL(Gadsden, Jackson)"
"Herbertia","herbertia","FL(Escambia)"
"Herbertia lahue","prairienymph","FL(Escambia)"
"Herbertia lahue ssp. caerulea","prairienymph","FL(Escambia)"
"Herissantia","herissantia","FL(Brevard, Collier, Lee, Miami-Dade, Monroe)"
"Herissantia crispa","bladdermallow","FL(Brevard, Collier, Lee, Miami-Dade, Monroe)"
"Heteranthera","mudplantain","FL(Escambia, Franklin, Miami-Dade, Orange, Palm Beach, Santa Rosa)"
"Heteranthera dubia","grassleaf mudplantain","FL(Franklin)"
"Heteranthera limosa","blue mudplantain","FL(Miami-Dade, Orange, Palm Beach)"
"Heteranthera reniformis","kidneyleaf mudplantain","FL(Escambia, Santa Rosa)"
"Heteropogon","tanglehead","FL(Alachua, Bay, Brevard, Charlotte, Clay, Collier, Columbia, Duval, Escambia, Gadsden, Gilchrist, Glades, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Jefferson, Lake, Leon, Marion, Martin, Miami-Dade, Monroe, Okeechobee, Orange, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Seminole, Sumter, Suwannee, Taylor, Volusia, Wakulla, Walton)"
"Heteropogon contortus","tanglehead","FL(Charlotte, Collier, Glades, Highlands, Hillsborough, Lake, Martin, Miami-Dade, Monroe, Okeechobee, Pinellas, Putnam)"
"Heteropogon melanocarpus","sweet tanglehead","FL(Alachua, Bay, Brevard, Charlotte, Clay, Collier, Columbia, Duval, Escambia, Gadsden, Gilchrist, Hamilton, Hardee, Hernando, Jefferson, Lake, Leon, Marion, Miami-Dade, Orange, Pasco, Polk, Putnam, Santa Rosa, Seminole, Sumter, Suwannee, Taylor, Volusia, Wakulla, Walton)"
"Heterotheca","false goldenaster","FL(Alachua, Bay, Brevard, Broward, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Gulf, Hamilton, Hardee, Hendry, Hernando, Highlands, Hillsborough, Indian River, Jackson, Lake, Lee, Leon, Levy, Madison, Manatee, Marion, Martin, Miami-Dade, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Suwannee, Taylor, Volusia, Wakulla, Walton, Washington)"
"Heterotheca subaxillaris","camphorweed","FL(Alachua, Bay, Brevard, Broward, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Gulf, Hamilton, Hardee, Hendry, Hernando, Highlands, Hillsborough, Indian River, Jackson, Lake, Lee, Leon, Levy, Madison, Manatee, Marion, Martin, Miami-Dade, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Suwannee, Taylor, Volusia, Wakulla, Walton, Washington)"
"Hexalectris","crested coralroot","FL(Alachua, Brevard, Calhoun, Citrus, Columbia, Dixie, Duval, Hernando, Indian River, Jackson, Lake, Lee, Leon, Levy, Liberty, Marion, Pasco, Sarasota, St. Johns, Sumter, Suwannee)"
"Hexalectris spicata","spiked crested coralroot","FL(Alachua, Brevard, Calhoun, Citrus, Columbia, Dixie, Duval, Hernando, Indian River, Jackson, Lake, Lee, Leon, Levy, Liberty, Marion, Pasco, Sarasota, St. Johns, Sumter, Suwannee)"
"Hexalectris spicata var. spicata","spiked crested coralroot","FL(Alachua, Brevard, Calhoun, Citrus, Columbia, Dixie, Duval, Hernando, Indian River, Jackson, Lake, Lee, Leon, Levy, Liberty, Marion, Pasco, Sarasota, St. Johns, Sumter, Suwannee)"
"Hexastylis","heartleaf","FL(Duval, Escambia, Gadsden, Holmes, Jefferson, Leon, Liberty, Nassau, Okaloosa, Putnam, Santa Rosa, Walton, Washington)"
"Hexastylis arifolia","littlebrownjug","FL(Duval, Escambia, Gadsden, Holmes, Jefferson, Leon, Liberty, Nassau, Okaloosa, Santa Rosa, Walton, Washington)"
"Hexastylis arifolia var. arifolia","littlebrownjug","FL(Duval, Escambia, Gadsden, Holmes, Jefferson, Leon, Liberty, Okaloosa, Santa Rosa, Walton, Washington)"
"Hexastylis virginica","Virginia heartleaf","FL(Putnam)"
"Hibiscus","rosemallow","FL(Alachua, Bay, Brevard, Broward, Calhoun, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Glades, Gulf, Hamilton, Hendry, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Suwannee, Taylor, Volusia, Wakulla, Walton, Washington)"
"Hibiscus acetosella","African rosemallow","FL(Brevard, DeSoto, Lee, Manatee, Martin, Miami-Dade, Pinellas, Seminole)"
"Hibiscus aculeatus","comfortroot","FL(Alachua, Calhoun, Clay, Columbia, Dixie, Duval, Escambia, Franklin, Gadsden, Gulf, Hamilton, Holmes, Jackson, Jefferson, Lafayette, Lake, Leon, Liberty, Madison, Nassau, Okaloosa, Santa Rosa, Suwannee, Taylor, Wakulla, Walton, Washington)"
"Hibiscus cannabinus","brown Indianhemp","FL(Miami-Dade)"
"Hibiscus coccineus","scarlet rosemallow","FL(Brevard, Broward, Clay, Collier, Duval, Flagler, Franklin, Lake, Levy, Marion, Okaloosa, Osceola, Polk, Putnam, Seminole, St. Johns, Volusia, Wakulla)"
"Hibiscus furcellatus","lindenleaf rosemallow","FL(Brevard, Broward, Highlands, Hillsborough, Indian River, Martin, Palm Beach, St. Lucie)"
"Hibiscus furcellatus var. youngianus","lindenleaf rosemallow","FL(Brevard, Broward, Highlands, Hillsborough, Indian River, Martin, Palm Beach, St. Lucie)"
"Hibiscus grandiflorus","swamp rosemallow","FL(Bay, Brevard, Broward, Clay, Collier, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Glades, Gulf, Hendry, Highlands, Hillsborough, Indian River, Lake, Leon, Levy, Manatee, Marion, Martin, Miami-Dade, Monroe, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pinellas, Polk, Putnam, Sarasota, Seminole, Sumter, Taylor, Volusia, Walton)"
"Hibiscus laevis","halberdleaf rosemallow","FL(Calhoun, Escambia, Franklin, Gulf, Jackson, Leon, Liberty, Washington)"
"Hibiscus moscheutos","crimsoneyed rosemallow","FL(Alachua, Clay, Columbia, Duval, Escambia, Franklin, Gadsden, Gulf, Jackson, Jefferson, Lake, Leon, Levy, Liberty, Marion, Nassau, Taylor, Wakulla, Walton, Washington)"
"Hibiscus poeppigii","Poeppig's rosemallow","FL(Miami-Dade, Monroe)"
"Hibiscus radiatus","monarch rosemallow","FL(Alachua, Hernando, Miami-Dade, Okeechobee, Seminole)"
"Hibiscus rosa-sinensis","shoeblackplant","FL(Brevard, Indian River, Miami-Dade, St. Lucie)"
"Hibiscus schizopetalus","fringed rosemallow","FL(Collier, Lee, Palm Beach)"
"Hibiscus tiliaceus","sea hibiscus","FL(Broward, Collier, Hendry, Lee, Manatee, Martin, Miami-Dade, Monroe, Palm Beach, St. Lucie)"
"Hibiscus trionum","flower of an hour","FL(Franklin)"
"Hieracium","hawkweed","FL(Alachua, Bay, Bradford, Brevard, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Glades, Gulf, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Indian River, Jackson, Jefferson, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Hieracium aurantiacum","orange hawkweed","FL(DeSoto)"
"Hieracium gronovii","queendevil","FL(Alachua, Bay, Bradford, Calhoun, Clay, Columbia, Duval, Escambia, Flagler, Franklin, Gadsden, Gulf, Hernando, Jackson, Jefferson, Lake, Leon, Levy, Liberty, Madison, Marion, Nassau, Okaloosa, Orange, Osceola, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Seminole, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Hieracium megacephalon","coastal plain hawkweed","FL(Alachua, Bradford, Brevard, Charlotte, Citrus, Clay, Collier, Columbia, Dixie, Flagler, Franklin, Glades, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Indian River, Lake, Lee, Levy, Liberty, Manatee, Marion, Martin, Miami-Dade, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Sarasota, Seminole, St. Johns, Sumter, Suwannee, Taylor, Volusia, Wakulla)"
"Hippobroma","hippobroma","FL(Miami-Dade)"
"Hippobroma longiflora","madamfate","FL(Miami-Dade)"
"Hippocratea","hippocratea","FL(Collier, Lee, Miami-Dade, Monroe, St. Lucie)"
"Hippocratea volubilis","medicine vine","FL(Collier, Lee, Miami-Dade, Monroe, St. Lucie)"
"Hippomane","hippomane","FL(Miami-Dade, Monroe)"
"Hippomane mancinella","manchineel","FL(Miami-Dade, Monroe)"
"Holmskioldia","holmskioldia","FL(Miami-Dade)"
"Holmskioldia sanguinea","Chinese hatplant","FL(Miami-Dade)"
"Hordeum","barley","FL(Alachua, Bay, Calhoun, Columbia, Escambia, Franklin, Gadsden, Hamilton, Jackson, Jefferson, Leon, Levy, Marion, Nassau, Putnam, Santa Rosa, Suwannee, Wakulla, Walton, Washington)"
"Hordeum pusillum","little barley","FL(Alachua, Bay, Calhoun, Columbia, Escambia, Franklin, Gadsden, Hamilton, Jackson, Jefferson, Leon, Levy, Marion, Nassau, Santa Rosa, Suwannee, Wakulla, Walton, Washington)"
"Hordeum vulgare","common barley","FL(Putnam, Wakulla, Walton)"
"Houstonia","bluet","FL(Alachua, Bay, Bradford, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Indian River, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Suwannee, Taylor, Volusia, Wakulla, Walton, Washington)"
"Houstonia longifolia","longleaf summer bluet","FL(Walton, Washington)"
"Houstonia micrantha","southern bluet","FL(Escambia)"
"Houstonia procumbens","roundleaf bluet","FL(Alachua, Bay, Bradford, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Indian River, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Pasco, Pinellas, Polk, Putnam, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Suwannee, Taylor, Volusia, Wakulla, Walton)"
"Houstonia purpurea","Venus' pride","FL(Jackson)"
"Houstonia purpurea var. purpurea","Venus' pride","FL(Jackson)"
"Houstonia pusilla","tiny bluet","FL(Bay, Calhoun, Escambia, Franklin, Gadsden, Jackson, Jefferson, Leon, Liberty, Okaloosa, Santa Rosa, Walton)"
"Houttuynia","houttuynia","FL(Hillsborough)"
"Houttuynia cordata","chameleon","FL(Hillsborough)"
"Huperzia","clubmoss","FL(Collier)"
"Huperzia dichotoma","hanging clubmoss","FL(Collier)"
"Hura","sandbox tree","FL(Miami-Dade, Monroe)"
"Hura crepitans","sandbox tree","FL(Miami-Dade, Monroe)"
"Hybanthus","greenviolet","FL(Gadsden, Miami-Dade)"
"Hybanthus concolor","eastern greenviolet","FL(Gadsden)"
"Hybanthus linearifolius","chancleta","FL(Miami-Dade)"
"Hydrangea","hydrangea","FL(Bay, Calhoun, Escambia, Gadsden, Jackson, Leon, Liberty, Marion, Santa Rosa, Walton, Washington)"
"Hydrangea arborescens","wild hydrangea","FL(Liberty, Walton)"
"Hydrangea quercifolia","oakleaf hydrangea","FL(Bay, Calhoun, Escambia, Gadsden, Jackson, Leon, Liberty, Marion, Santa Rosa, Washington)"
"Hydrilla","hydrilla","FL(Alachua, Broward, Citrus, Collier, Duval, Franklin, Gilchrist, Glades, Hendry, Leon, Levy, Manatee, Martin, Miami-Dade, Okeechobee, Orange, Palm Beach, Pasco, Pinellas, Polk, Putnam, Sarasota)"
"Hydrilla verticillata","waterthyme","FL(Alachua, Broward, Citrus, Collier, Duval, Franklin, Gilchrist, Glades, Hendry, Leon, Levy, Manatee, Martin, Miami-Dade, Okeechobee, Orange, Palm Beach, Pasco, Pinellas, Polk, Putnam, Sarasota)"
"Hydrocleys","hydrocleys","FL(Alachua, Orange, Polk, Volusia)"
"Hydrocleys nymphoides","waterpoppy","FL(Alachua, Orange, Polk, Volusia)"
"Hydrocotyle","hydrocotyle","FL(Alachua, Baker, Bay, Bradford, Brevard, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Gulf, Hamilton, Hardee, Hendry, Hernando, Highlands, Hillsborough, Indian River, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Hydrocotyle bonariensis","largeleaf pennywort","FL(Alachua, Bay, Bradford, Brevard, Citrus, Clay, Collier, Duval, Escambia, Flagler, Franklin, Gulf, Marion, Miami-Dade, Nassau, Okaloosa, Palm Beach, Pasco, Pinellas, Santa Rosa, St. Johns, St. Lucie, Volusia, Wakulla, Walton)"
"Hydrocotyle prolifera","whorled marshpennywort","FL(Alachua, Bay, Citrus, Escambia, Franklin, Hernando, Lee, Marion, Miami-Dade, Nassau, Okaloosa, Pasco, Pinellas, Polk, Santa Rosa, Seminole, Wakulla, Walton)"
"Hydrocotyle ranunculoides","floating marshpennywort","FL(Alachua, Collier, Escambia, Franklin, Lake, Leon, Liberty, Madison, Marion, Nassau, Orange, Pasco, Pinellas, Polk, Santa Rosa, Sumter, Suwannee)"
"Hydrocotyle sibthorpioides","lawn marshpennywort","FL(Baker, Jackson, Leon)"
"Hydrocotyle umbellata","manyflower marshpennywort","FL(Alachua, Baker, Bradford, Brevard, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Duval, Escambia, Flagler, Franklin, Gilchrist, Glades, Hamilton, Hardee, Hendry, Hernando, Highlands, Hillsborough, Indian River, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Madison, Manatee, Marion, Martin, Miami-Dade, Nassau, Okaloosa, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Lucie, Sumter, Suwannee, Taylor, Volusia, Wakulla, Walton)"
"Hydrocotyle verticillata","whorled marshpennywort","FL(Alachua, Calhoun, Citrus, Collier, Columbia, DeSoto, Duval, Escambia, Flagler, Franklin, Gadsden, Hardee, Highlands, Hillsborough, Jackson, Jefferson, Lake, Lee, Leon, Levy, Liberty, Manatee, Marion, Martin, Miami-Dade, Monroe, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Seminole, St. Lucie, Sumter, Suwannee, Union, Volusia, Wakulla, Washington)"
"Hydrocotyle verticillata var. verticillata","whorled marshpennywort","FL(Alachua, Calhoun, Citrus, Collier, Columbia, DeSoto, Duval, Escambia, Flagler, Franklin, Gadsden, Hardee, Highlands, Hillsborough, Jackson, Jefferson, Lake, Lee, Leon, Levy, Liberty, Manatee, Marion, Martin, Miami-Dade, Monroe, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Seminole, St. Lucie, Sumter, Suwannee, Union, Volusia, Wakulla, Washington)"
"Hydrolea","false fiddleleaf","FL(Alachua, Baker, Brevard, Broward, Charlotte, Citrus, Collier, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Glades, Hamilton, Hardee, Hendry, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Monroe, Okaloosa, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Sarasota, Seminole, St. Lucie, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla)"
